feature,importance
y4_scale,0.04610584119599032
y19_scale,0.04201023511824346
x1_scale,0.039016742146763046
y15_scale,0.03574132637654641
y8_scale,0.03521581447439023
y20_scale,0.034756904796433015
x12_scale,0.03278494319798223
y12_scale,0.031949123127773045
x8_scale,0.030622294230125423
y16_scale,0.030548854456119774
y17_scale,0.02990219550953351
x0_scale,0.029198256083384933
x11_scale,0.028710681131622423
x10_scale,0.028652905030807637
y6_scale,0.028603473945822643
y11_scale,0.028576634386852724
y10_scale,0.028123153727304905
y13_scale,0.027695127206314157
y9_scale,0.027551668141853898
y3_scale,0.026218774602065665
y18_scale,0.02539514812579475
x7_scale,0.02468064857416386
x3_scale,0.023887673199678827
x2_scale,0.023779704018523945
x9_scale,0.023095945172752753
y7_scale,0.02205442207765099
y5_scale,0.021014526620716137
y14_scale,0.0206996858100443
x5_scale,0.019605930174975673
x13_scale,0.018756196712547066
y2_scale,0.018669949546617014
x4_scale,0.017907394502481275
x17_scale,0.014833378024560298
x14_scale,0.014131749309592318
x6_scale,0.012171809219422194
y1_scale,0.0110436909834435
x18_scale,0.010813927485646036
x19_scale,0.010470351174914903
x20_scale,0.01031768916638505
x15_scale,0.008533697178501208
x16_scale,0.0034740873942520714
y0_scale,0.002677446641406188
