feature,importance
y4,0.036828076873436755
y8,0.03651734668290221
y20,0.03568048624499689
y12,0.03510533392350799
y16,0.03501953907600793
x4,0.032533193289040314
y3,0.028299149462464323
y19,0.02717347797330249
y7,0.026565764399353244
y11,0.026064768738004382
x20,0.02572994865147111
x3,0.024751448979883933
x8,0.024660068736791007
y15,0.024316980585181096
y0,0.024228610209985735
y2,0.023856898254554056
y18,0.02352330476249261
y17,0.02321829004772689
x19,0.022914101029210442
x0,0.022854797586135036
x18,0.022609851970758484
y1,0.022253463201368468
x12,0.022002426643986432
x7,0.021946424912702954
x17,0.021556851249921037
x2,0.021436977974979926
x1,0.02116947260236451
y6,0.020756976811129316
x6,0.020739337783211662
x5,0.020500171278886335
x16,0.019963868295631695
y13,0.01989105081764056
y5,0.019697452166207715
y14,0.019577304397803728
y10,0.019095557047608663
x11,0.018678967062960752
y9,0.018537370500634493
x14,0.018395175060898362
x15,0.01827894933953414
x13,0.01826652899858914
x9,0.017710728232400486
x10,0.017093508144332786
