Metric,Value
Representation,distances_xy
Training accuracy,1.0
Training error,0.0
Test accuracy,0.9347826086956522
Test error,0.06521739130434778
Cross-validation best accuracy,0.9347330796725469
Number of training observations,1471
Number of test observations,368
Number of predictors,210
Number of classes,36
Number of trees,500
Maximum tree depth,
Maximum features per split,sqrt
Minimum samples per leaf,1
