perturbation_type,level,repeat,representation,classifier,accuracy,clean_accuracy,accuracy_drop,translation,scale_low,scale_high,noise
Translation only,0,7,Hybrid,Multinomial logistic,100.0,100.0,0.0,0.0,1.0,1.0,0.0
Translation only,0,8,XY,Multinomial logistic,99.73474801061008,99.73474801061008,0.0,0.0,1.0,1.0,0.0
Translation only,0,8,Translated,Multinomial logistic,99.82316534040672,99.82316534040672,0.0,0.0,1.0,1.0,0.0
Translation only,0,8,Scaled,Multinomial logistic,99.91158267020336,99.91158267020336,0.0,0.0,1.0,1.0,0.0
Translation only,0,8,Distance,Multinomial logistic,99.82316534040672,99.82316534040672,0.0,0.0,1.0,1.0,0.0
Translation only,0,8,Norm. distance,Multinomial logistic,100.0,100.0,0.0,0.0,1.0,1.0,0.0
Translation only,0,8,Angles,Multinomial logistic,98.85057471264368,98.85057471264368,0.0,0.0,1.0,1.0,0.0
Translation only,0,8,Hybrid,Multinomial logistic,100.0,100.0,0.0,0.0,1.0,1.0,0.0
Translation only,0,9,XY,Multinomial logistic,99.73474801061008,99.73474801061008,0.0,0.0,1.0,1.0,0.0
Translation only,0,9,Translated,Multinomial logistic,99.82316534040672,99.82316534040672,0.0,0.0,1.0,1.0,0.0
Translation only,0,9,Scaled,Multinomial logistic,99.91158267020336,99.91158267020336,0.0,0.0,1.0,1.0,0.0
Translation only,0,9,Distance,Multinomial logistic,99.82316534040672,99.82316534040672,0.0,0.0,1.0,1.0,0.0
Translation only,0,9,Norm. distance,Multinomial logistic,100.0,100.0,0.0,0.0,1.0,1.0,0.0
Translation only,0,9,Angles,Multinomial logistic,98.85057471264368,98.85057471264368,0.0,0.0,1.0,1.0,0.0
Translation only,0,9,Hybrid,Multinomial logistic,100.0,100.0,0.0,0.0,1.0,1.0,0.0
Translation only,1,0,XY,Multinomial logistic,95.66755083996463,99.73474801061008,4.067197170645443,0.1,1.0,1.0,0.0
Translation only,1,0,Translated,Multinomial logistic,99.82316534040672,99.82316534040672,0.0,0.1,1.0,1.0,0.0
Translation only,1,0,Scaled,Multinomial logistic,99.91158267020336,99.91158267020336,0.0,0.1,1.0,1.0,0.0
Translation only,1,0,Distance,Multinomial logistic,99.82316534040672,99.82316534040672,0.0,0.1,1.0,1.0,0.0
Translation only,1,0,Norm. distance,Multinomial logistic,100.0,100.0,0.0,0.1,1.0,1.0,0.0
Translation only,1,0,Angles,Multinomial logistic,98.85057471264368,98.85057471264368,0.0,0.1,1.0,1.0,0.0
Translation only,1,0,Hybrid,Multinomial logistic,100.0,100.0,0.0,0.1,1.0,1.0,0.0
Translation only,1,1,XY,Multinomial logistic,95.31388152077808,99.73474801061008,4.420866489831994,0.1,1.0,1.0,0.0
Translation only,1,1,Translated,Multinomial logistic,99.82316534040672,99.82316534040672,0.0,0.1,1.0,1.0,0.0
Translation only,1,1,Scaled,Multinomial logistic,99.91158267020336,99.91158267020336,0.0,0.1,1.0,1.0,0.0
Translation only,1,1,Distance,Multinomial logistic,99.82316534040672,99.82316534040672,0.0,0.1,1.0,1.0,0.0
Translation only,1,1,Norm. distance,Multinomial logistic,100.0,100.0,0.0,0.1,1.0,1.0,0.0
Translation only,1,1,Angles,Multinomial logistic,98.85057471264368,98.85057471264368,0.0,0.1,1.0,1.0,0.0
Translation only,1,1,Hybrid,Multinomial logistic,100.0,100.0,0.0,0.1,1.0,1.0,0.0
Translation only,1,2,XY,Multinomial logistic,96.64014146772767,99.73474801061008,3.0946065428824028,0.1,1.0,1.0,0.0
Translation only,1,2,Translated,Multinomial logistic,99.82316534040672,99.82316534040672,0.0,0.1,1.0,1.0,0.0
Translation only,1,2,Scaled,Multinomial logistic,99.91158267020336,99.91158267020336,0.0,0.1,1.0,1.0,0.0
Translation only,1,2,Distance,Multinomial logistic,99.82316534040672,99.82316534040672,0.0,0.1,1.0,1.0,0.0
Translation only,1,2,Norm. distance,Multinomial logistic,100.0,100.0,0.0,0.1,1.0,1.0,0.0
Translation only,1,2,Angles,Multinomial logistic,98.85057471264368,98.85057471264368,0.0,0.1,1.0,1.0,0.0
Translation only,1,2,Hybrid,Multinomial logistic,100.0,100.0,0.0,0.1,1.0,1.0,0.0
Translation only,1,3,XY,Multinomial logistic,96.28647214854111,99.73474801061008,3.448275862068968,0.1,1.0,1.0,0.0
Translation only,1,3,Translated,Multinomial logistic,99.82316534040672,99.82316534040672,0.0,0.1,1.0,1.0,0.0
Translation only,1,3,Scaled,Multinomial logistic,99.91158267020336,99.91158267020336,0.0,0.1,1.0,1.0,0.0
Translation only,1,3,Distance,Multinomial logistic,99.82316534040672,99.82316534040672,0.0,0.1,1.0,1.0,0.0
Translation only,1,3,Norm. distance,Multinomial logistic,100.0,100.0,0.0,0.1,1.0,1.0,0.0
Translation only,1,3,Angles,Multinomial logistic,98.85057471264368,98.85057471264368,0.0,0.1,1.0,1.0,0.0
Translation only,1,3,Hybrid,Multinomial logistic,100.0,100.0,0.0,0.1,1.0,1.0,0.0
Translation only,1,4,XY,Multinomial logistic,95.49071618037135,99.73474801061008,4.244031830238725,0.1,1.0,1.0,0.0
Translation only,1,4,Translated,Multinomial logistic,99.82316534040672,99.82316534040672,0.0,0.1,1.0,1.0,0.0
Translation only,1,4,Scaled,Multinomial logistic,99.91158267020336,99.91158267020336,0.0,0.1,1.0,1.0,0.0
Translation only,1,4,Distance,Multinomial logistic,99.82316534040672,99.82316534040672,0.0,0.1,1.0,1.0,0.0
Translation only,1,4,Norm. distance,Multinomial logistic,100.0,100.0,0.0,0.1,1.0,1.0,0.0
Translation only,1,4,Angles,Multinomial logistic,98.85057471264368,98.85057471264368,0.0,0.1,1.0,1.0,0.0
Translation only,1,4,Hybrid,Multinomial logistic,100.0,100.0,0.0,0.1,1.0,1.0,0.0
Translation only,1,5,XY,Multinomial logistic,96.64014146772767,99.73474801061008,3.0946065428824028,0.1,1.0,1.0,0.0
Translation only,1,5,Translated,Multinomial logistic,99.82316534040672,99.82316534040672,0.0,0.1,1.0,1.0,0.0
Translation only,1,5,Scaled,Multinomial logistic,99.91158267020336,99.91158267020336,0.0,0.1,1.0,1.0,0.0
Translation only,1,5,Distance,Multinomial logistic,99.82316534040672,99.82316534040672,0.0,0.1,1.0,1.0,0.0
Translation only,1,5,Norm. distance,Multinomial logistic,100.0,100.0,0.0,0.1,1.0,1.0,0.0
Translation only,1,5,Angles,Multinomial logistic,98.85057471264368,98.85057471264368,0.0,0.1,1.0,1.0,0.0
Translation only,1,5,Hybrid,Multinomial logistic,100.0,100.0,0.0,0.1,1.0,1.0,0.0
Translation only,1,6,XY,Multinomial logistic,96.28647214854111,99.73474801061008,3.448275862068968,0.1,1.0,1.0,0.0
Translation only,1,6,Translated,Multinomial logistic,99.82316534040672,99.82316534040672,0.0,0.1,1.0,1.0,0.0
Translation only,1,6,Scaled,Multinomial logistic,99.91158267020336,99.91158267020336,0.0,0.1,1.0,1.0,0.0
Translation only,1,6,Distance,Multinomial logistic,99.82316534040672,99.82316534040672,0.0,0.1,1.0,1.0,0.0
Translation only,1,6,Norm. distance,Multinomial logistic,100.0,100.0,0.0,0.1,1.0,1.0,0.0
Translation only,1,6,Angles,Multinomial logistic,98.85057471264368,98.85057471264368,0.0,0.1,1.0,1.0,0.0
Translation only,1,6,Hybrid,Multinomial logistic,100.0,100.0,0.0,0.1,1.0,1.0,0.0
Translation only,1,7,XY,Multinomial logistic,95.75596816976127,99.73474801061008,3.9787798408488015,0.1,1.0,1.0,0.0
Translation only,1,7,Translated,Multinomial logistic,99.82316534040672,99.82316534040672,0.0,0.1,1.0,1.0,0.0
Translation only,1,7,Scaled,Multinomial logistic,99.91158267020336,99.91158267020336,0.0,0.1,1.0,1.0,0.0
Translation only,1,7,Distance,Multinomial logistic,99.82316534040672,99.82316534040672,0.0,0.1,1.0,1.0,0.0
Translation only,1,7,Norm. distance,Multinomial logistic,100.0,100.0,0.0,0.1,1.0,1.0,0.0
Translation only,1,7,Angles,Multinomial logistic,98.85057471264368,98.85057471264368,0.0,0.1,1.0,1.0,0.0
Translation only,1,7,Hybrid,Multinomial logistic,100.0,100.0,0.0,0.1,1.0,1.0,0.0
Translation only,1,8,XY,Multinomial logistic,94.42970822281167,99.73474801061008,5.305039787798407,0.1,1.0,1.0,0.0
Translation only,1,8,Translated,Multinomial logistic,99.82316534040672,99.82316534040672,0.0,0.1,1.0,1.0,0.0
Translation only,1,8,Scaled,Multinomial logistic,99.91158267020336,99.91158267020336,0.0,0.1,1.0,1.0,0.0
Translation only,1,8,Distance,Multinomial logistic,99.82316534040672,99.82316534040672,0.0,0.1,1.0,1.0,0.0
Translation only,1,8,Norm. distance,Multinomial logistic,100.0,100.0,0.0,0.1,1.0,1.0,0.0
Translation only,1,8,Angles,Multinomial logistic,98.85057471264368,98.85057471264368,0.0,0.1,1.0,1.0,0.0
Translation only,1,8,Hybrid,Multinomial logistic,100.0,100.0,0.0,0.1,1.0,1.0,0.0
Translation only,1,9,XY,Multinomial logistic,96.72855879752431,99.73474801061008,3.0061892130857615,0.1,1.0,1.0,0.0
Translation only,1,9,Translated,Multinomial logistic,99.82316534040672,99.82316534040672,0.0,0.1,1.0,1.0,0.0
Translation only,1,9,Scaled,Multinomial logistic,99.91158267020336,99.91158267020336,0.0,0.1,1.0,1.0,0.0
Translation only,1,9,Distance,Multinomial logistic,99.82316534040672,99.82316534040672,0.0,0.1,1.0,1.0,0.0
Translation only,1,9,Norm. distance,Multinomial logistic,100.0,100.0,0.0,0.1,1.0,1.0,0.0
Translation only,1,9,Angles,Multinomial logistic,98.85057471264368,98.85057471264368,0.0,0.1,1.0,1.0,0.0
Translation only,1,9,Hybrid,Multinomial logistic,100.0,100.0,0.0,0.1,1.0,1.0,0.0
Translation only,2,0,XY,Multinomial logistic,67.37400530503979,99.73474801061008,32.36074270557029,0.25,1.0,1.0,0.0
Translation only,2,0,Translated,Multinomial logistic,99.82316534040672,99.82316534040672,0.0,0.25,1.0,1.0,0.0
Translation only,2,0,Scaled,Multinomial logistic,99.91158267020336,99.91158267020336,0.0,0.25,1.0,1.0,0.0
Translation only,2,0,Distance,Multinomial logistic,99.82316534040672,99.82316534040672,0.0,0.25,1.0,1.0,0.0
Translation only,2,0,Norm. distance,Multinomial logistic,100.0,100.0,0.0,0.25,1.0,1.0,0.0
Translation only,2,0,Angles,Multinomial logistic,98.85057471264368,98.85057471264368,0.0,0.25,1.0,1.0,0.0
Translation only,2,0,Hybrid,Multinomial logistic,100.0,100.0,0.0,0.25,1.0,1.0,0.0
Translation only,2,1,XY,Multinomial logistic,66.13616268788682,99.73474801061008,33.59858532272325,0.25,1.0,1.0,0.0
Translation only,2,1,Translated,Multinomial logistic,99.82316534040672,99.82316534040672,0.0,0.25,1.0,1.0,0.0
Translation only,2,1,Scaled,Multinomial logistic,99.91158267020336,99.91158267020336,0.0,0.25,1.0,1.0,0.0
Translation only,2,1,Distance,Multinomial logistic,99.82316534040672,99.82316534040672,0.0,0.25,1.0,1.0,0.0
Translation only,2,1,Norm. distance,Multinomial logistic,100.0,100.0,0.0,0.25,1.0,1.0,0.0
Translation only,2,1,Angles,Multinomial logistic,98.85057471264368,98.85057471264368,0.0,0.25,1.0,1.0,0.0
Translation only,2,1,Hybrid,Multinomial logistic,100.0,100.0,0.0,0.25,1.0,1.0,0.0
Translation only,2,2,XY,Multinomial logistic,69.58443854995579,99.73474801061008,30.150309460654285,0.25,1.0,1.0,0.0
Translation only,2,2,Translated,Multinomial logistic,99.82316534040672,99.82316534040672,0.0,0.25,1.0,1.0,0.0
Translation only,2,2,Scaled,Multinomial logistic,99.91158267020336,99.91158267020336,0.0,0.25,1.0,1.0,0.0
Translation only,2,2,Distance,Multinomial logistic,99.82316534040672,99.82316534040672,0.0,0.25,1.0,1.0,0.0
Translation only,2,2,Norm. distance,Multinomial logistic,100.0,100.0,0.0,0.25,1.0,1.0,0.0
