dataset,classifier,representation,test_accuracy,cv_accuracy,source_file,condition,rank
SignAlphaSet,Random Forest,Normalized distance,99.80732177263968,99.95180722891568,C:\Users\shiva\PycharmProjects\SignLanguage\SignAlphaSet_random_forest_outputs\SignAlphaSet_random_forest_all_representations_summary.csv,SignAlphaSet / Random Forest,7.0
SignAlphaSet,Random Forest,Angles,99.80732177263968,99.8069961003434,C:\Users\shiva\PycharmProjects\SignLanguage\SignAlphaSet_random_forest_outputs\SignAlphaSet_random_forest_all_representations_summary.csv,SignAlphaSet / Random Forest,7.0
SignAlphaSet,Random Forest,Hybrid,100.0,99.95180722891568,C:\Users\shiva\PycharmProjects\SignLanguage\SignAlphaSet_random_forest_outputs\SignAlphaSet_random_forest_all_representations_summary.csv,SignAlphaSet / Random Forest,1.0
HaGRID,Logistic,XY,73.91304347826086,71.88349514563107,C:\Users\shiva\PycharmProjects\SignLanguage\hagrid_100_logistic_regression_outputs\hagrid_100_logistic_regression_all_representations_summary.csv,HaGRID / Logistic,7.0
HaGRID,Logistic,XYZ,80.59006211180125,78.95145631067962,C:\Users\shiva\PycharmProjects\SignLanguage\hagrid_100_logistic_regression_outputs\hagrid_100_logistic_regression_all_representations_summary.csv,HaGRID / Logistic,4.0
HaGRID,Logistic,Translated,78.26086956521739,76.81553398058252,C:\Users\shiva\PycharmProjects\SignLanguage\hagrid_100_logistic_regression_outputs\hagrid_100_logistic_regression_all_representations_summary.csv,HaGRID / Logistic,5.0
HaGRID,Logistic,Scaled,76.08695652173914,74.83495145631068,C:\Users\shiva\PycharmProjects\SignLanguage\hagrid_100_logistic_regression_outputs\hagrid_100_logistic_regression_all_representations_summary.csv,HaGRID / Logistic,6.0
HaGRID,Logistic,Distance,86.33540372670807,86.33009708737865,C:\Users\shiva\PycharmProjects\SignLanguage\hagrid_100_logistic_regression_outputs\hagrid_100_logistic_regression_all_representations_summary.csv,HaGRID / Logistic,3.0
HaGRID,Logistic,Normalized distance,86.95652173913044,86.44660194174759,C:\Users\shiva\PycharmProjects\SignLanguage\hagrid_100_logistic_regression_outputs\hagrid_100_logistic_regression_all_representations_summary.csv,HaGRID / Logistic,2.0
HaGRID,Logistic,Angles,73.4472049689441,73.08737864077669,C:\Users\shiva\PycharmProjects\SignLanguage\hagrid_100_logistic_regression_outputs\hagrid_100_logistic_regression_all_representations_summary.csv,HaGRID / Logistic,8.0
HaGRID,Logistic,Hybrid,89.13043478260869,87.96116504854368,C:\Users\shiva\PycharmProjects\SignLanguage\hagrid_100_logistic_regression_outputs\hagrid_100_logistic_regression_all_representations_summary.csv,HaGRID / Logistic,1.0
HaGRID,Random Forest,XY,53.72670807453416,50.09708737864077,C:\Users\shiva\PycharmProjects\SignLanguage\hagrid_100_random_forest_outputs\hagrid_100_random_forest_all_representations_summary.csv,HaGRID / Random Forest,8.0
HaGRID,Random Forest,XYZ,55.90062111801242,52.19417475728155,C:\Users\shiva\PycharmProjects\SignLanguage\hagrid_100_random_forest_outputs\hagrid_100_random_forest_all_representations_summary.csv,HaGRID / Random Forest,7.0
HaGRID,Random Forest,Translated,77.95031055900621,77.94174757281553,C:\Users\shiva\PycharmProjects\SignLanguage\hagrid_100_random_forest_outputs\hagrid_100_random_forest_all_representations_summary.csv,HaGRID / Random Forest,5.0
HaGRID,Random Forest,Scaled,84.62732919254658,84.46601941747574,C:\Users\shiva\PycharmProjects\SignLanguage\hagrid_100_random_forest_outputs\hagrid_100_random_forest_all_representations_summary.csv,HaGRID / Random Forest,3.0
HaGRID,Random Forest,Distance,81.67701863354037,82.44660194174757,C:\Users\shiva\PycharmProjects\SignLanguage\hagrid_100_random_forest_outputs\hagrid_100_random_forest_all_representations_summary.csv,HaGRID / Random Forest,4.0
HaGRID,Random Forest,Normalized distance,85.09316770186336,86.1747572815534,C:\Users\shiva\PycharmProjects\SignLanguage\hagrid_100_random_forest_outputs\hagrid_100_random_forest_all_representations_summary.csv,HaGRID / Random Forest,2.0
HaGRID,Random Forest,Angles,75.93167701863354,77.0873786407767,C:\Users\shiva\PycharmProjects\SignLanguage\hagrid_100_random_forest_outputs\hagrid_100_random_forest_all_representations_summary.csv,HaGRID / Random Forest,6.0
HaGRID,Random Forest,Hybrid,87.26708074534162,87.88349514563106,C:\Users\shiva\PycharmProjects\SignLanguage\hagrid_100_random_forest_outputs\hagrid_100_random_forest_all_representations_summary.csv,HaGRID / Random Forest,1.0
