perturbation_type,level,representation,classifier,mean_accuracy,std_accuracy,min_accuracy,max_accuracy,mean_accuracy_drop,std_accuracy_drop,min_accuracy_drop,max_accuracy_drop,clean_accuracy,translation,scale_low,scale_high,noise
Scale only,4,XY,Multinomial logistic,49.57559681697613,1.7022983196430466,47.303271441202476,53.13881520778072,50.159151193633946,1.7022983196430466,46.59593280282935,52.4314765694076,99.73474801061008,0.0,0.3,2.5,0.0
Translation + scale,0,Angles,Multinomial logistic,98.85057471264368,0.0,98.85057471264368,98.85057471264368,0.0,0.0,0.0,0.0,98.85057471264368,0.0,1.0,1.0,0.0
Translation + scale,0,Distance,Multinomial logistic,99.82316534040672,0.0,99.82316534040672,99.82316534040672,0.0,0.0,0.0,0.0,99.82316534040672,0.0,1.0,1.0,0.0
Translation + scale,0,Hybrid,Multinomial logistic,100.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,1.0,1.0,0.0
Translation + scale,0,Norm. distance,Multinomial logistic,100.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,1.0,1.0,0.0
Translation + scale,0,Scaled,Multinomial logistic,99.91158267020336,0.0,99.91158267020336,99.91158267020336,0.0,0.0,0.0,0.0,99.91158267020336,0.0,1.0,1.0,0.0
Translation + scale,0,Translated,Multinomial logistic,99.82316534040672,0.0,99.82316534040672,99.82316534040672,0.0,0.0,0.0,0.0,99.82316534040672,0.0,1.0,1.0,0.0
Translation + scale,0,XY,Multinomial logistic,99.73474801061008,0.0,99.73474801061008,99.73474801061008,0.0,0.0,0.0,0.0,99.73474801061008,0.0,1.0,1.0,0.0
Translation + scale,1,Angles,Multinomial logistic,98.85057471264368,0.0,98.85057471264368,98.85057471264368,0.0,0.0,0.0,0.0,98.85057471264368,0.1,0.8,1.25,0.0
Translation + scale,1,Distance,Multinomial logistic,99.82316534040672,0.0,99.82316534040672,99.82316534040672,0.0,0.0,0.0,0.0,99.82316534040672,0.1,0.8,1.25,0.0
Translation + scale,1,Hybrid,Multinomial logistic,100.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,100.0,0.1,0.8,1.25,0.0
Translation + scale,1,Norm. distance,Multinomial logistic,100.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,100.0,0.1,0.8,1.25,0.0
Translation + scale,1,Scaled,Multinomial logistic,99.91158267020336,0.0,99.91158267020336,99.91158267020336,0.0,0.0,0.0,0.0,99.91158267020336,0.1,0.8,1.25,0.0
Translation + scale,1,Translated,Multinomial logistic,99.78779840848806,0.045658512775802594,99.73474801061008,99.82316534040672,0.035366931918656516,0.04565851277580274,0.0,0.0884173297966413,99.82316534040672,0.1,0.8,1.25,0.0
Translation + scale,1,XY,Multinomial logistic,89.73474801061008,0.9635731256528925,88.3289124668435,91.06984969053936,9.999999999999998,0.9635731256528937,8.66489832007072,11.405835543766571,99.73474801061008,0.1,0.8,1.25,0.0
Translation + scale,2,Angles,Multinomial logistic,98.85057471264368,0.0,98.85057471264368,98.85057471264368,0.0,0.0,0.0,0.0,98.85057471264368,0.25,0.6,1.6,0.0
Translation + scale,2,Distance,Multinomial logistic,99.62864721485411,0.10868900038069858,99.46949602122017,99.73474801061008,0.19451812555260234,0.10868900038069539,0.0884173297966413,0.353669319186551,99.82316534040672,0.25,0.6,1.6,0.0
Translation + scale,2,Hybrid,Multinomial logistic,100.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,100.0,0.25,0.6,1.6,0.0
Translation + scale,2,Norm. distance,Multinomial logistic,100.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,100.0,0.25,0.6,1.6,0.0
Translation + scale,2,Scaled,Multinomial logistic,99.91158267020336,0.0,99.91158267020336,99.91158267020336,0.0,0.0,0.0,0.0,99.91158267020336,0.25,0.6,1.6,0.0
Translation + scale,2,Translated,Multinomial logistic,99.65517241379311,0.0879247503104942,99.55791335101681,99.82316534040672,0.1679929266136085,0.0879247503104951,0.0,0.2652519893899097,99.82316534040672,0.25,0.6,1.6,0.0
Translation + scale,2,XY,Multinomial logistic,58.07250221043324,1.1473830732101398,56.58709106984969,60.123784261715294,41.66224580017683,1.1473830732101398,39.61096374889478,43.147656940760385,99.73474801061008,0.25,0.6,1.6,0.0
Translation + scale,3,Angles,Multinomial logistic,98.85057471264368,0.0,98.85057471264368,98.85057471264368,0.0,0.0,0.0,0.0,98.85057471264368,0.45,0.4,2.0,0.0
Translation + scale,3,Distance,Multinomial logistic,96.85234305923962,0.4355544521523441,96.19805481874447,97.61273209549071,2.9708222811671066,0.435554452152344,2.210433244916004,3.6251105216622506,99.82316534040672,0.45,0.4,2.0,0.0
Translation + scale,3,Hybrid,Multinomial logistic,100.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,100.0,0.45,0.4,2.0,0.0
Translation + scale,3,Norm. distance,Multinomial logistic,100.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,100.0,0.45,0.4,2.0,0.0
Translation + scale,3,Scaled,Multinomial logistic,99.91158267020336,0.0,99.91158267020336,99.91158267020336,0.0,0.0,0.0,0.0,99.91158267020336,0.45,0.4,2.0,0.0
Translation + scale,3,Translated,Multinomial logistic,97.61273209549071,0.3774314316199736,96.9053934571176,98.14323607427056,2.2104332449160027,0.3774314316199754,1.6799292661361562,2.91777188328912,99.82316534040672,0.45,0.4,2.0,0.0
Translation + scale,3,XY,Multinomial logistic,38.06366047745358,1.2110628241263999,36.162687886825815,39.61096374889478,61.671087533156495,1.2110628241263999,60.123784261715294,63.57206012378426,99.73474801061008,0.45,0.4,2.0,0.0
Translation + scale,4,Angles,Multinomial logistic,98.85057471264368,0.0,98.85057471264368,98.85057471264368,0.0,0.0,0.0,0.0,98.85057471264368,0.7,0.3,2.5,0.0
Translation + scale,4,Distance,Multinomial logistic,95.38461538461539,0.7288696702457833,94.07603890362512,96.64014146772767,4.438549955791333,0.7288696702457806,3.183023872679044,5.747126436781599,99.82316534040672,0.7,0.3,2.5,0.0
Translation + scale,4,Hybrid,Multinomial logistic,100.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,100.0,0.7,0.3,2.5,0.0
Translation + scale,4,Norm. distance,Multinomial logistic,100.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,100.0,0.7,0.3,2.5,0.0
Translation + scale,4,Scaled,Multinomial logistic,99.91158267020336,0.0,99.91158267020336,99.91158267020336,0.0,0.0,0.0,0.0,99.91158267020336,0.7,0.3,2.5,0.0
Translation + scale,4,Translated,Multinomial logistic,95.94164456233422,0.6174459279116968,94.78337754199823,96.81697612732096,3.8815207780725016,0.6174459279116966,3.0061892130857615,5.039787798408483,99.82316534040672,0.7,0.3,2.5,0.0
Translation + scale,4,XY,Multinomial logistic,27.869142351900972,1.204986889126816,26.171529619805483,29.79664014146773,71.8656056587091,1.204986889126815,69.93810786914234,73.5632183908046,99.73474801061008,0.7,0.3,2.5,0.0
Translation + scale + noise,0,Angles,Multinomial logistic,98.85057471264368,0.0,98.85057471264368,98.85057471264368,0.0,0.0,0.0,0.0,98.85057471264368,0.0,1.0,1.0,0.0
Translation + scale + noise,0,Distance,Multinomial logistic,99.82316534040672,0.0,99.82316534040672,99.82316534040672,0.0,0.0,0.0,0.0,99.82316534040672,0.0,1.0,1.0,0.0
Translation + scale + noise,0,Hybrid,Multinomial logistic,100.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,1.0,1.0,0.0
Translation + scale + noise,0,Norm. distance,Multinomial logistic,100.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,1.0,1.0,0.0
Translation + scale + noise,0,Scaled,Multinomial logistic,99.91158267020336,0.0,99.91158267020336,99.91158267020336,0.0,0.0,0.0,0.0,99.91158267020336,0.0,1.0,1.0,0.0
Translation + scale + noise,0,Translated,Multinomial logistic,99.82316534040672,0.0,99.82316534040672,99.82316534040672,0.0,0.0,0.0,0.0,99.82316534040672,0.0,1.0,1.0,0.0
Translation + scale + noise,0,XY,Multinomial logistic,99.73474801061008,0.0,99.73474801061008,99.73474801061008,0.0,0.0,0.0,0.0,99.73474801061008,0.0,1.0,1.0,0.0
Translation + scale + noise,1,Angles,Multinomial logistic,97.82493368700266,0.2707617819712597,97.43589743589743,98.14323607427056,1.0256410256410249,0.27076178197125855,0.7073386383731162,1.4146772767462465,98.85057471264368,0.1,0.8,1.25,0.001
Translation + scale + noise,1,Distance,Multinomial logistic,99.82316534040672,0.0,99.82316534040672,99.82316534040672,0.0,0.0,0.0,0.0,99.82316534040672,0.1,0.8,1.25,0.001
Translation + scale + noise,1,Hybrid,Multinomial logistic,100.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,100.0,0.1,0.8,1.25,0.001
Translation + scale + noise,1,Norm. distance,Multinomial logistic,99.973474801061,0.04270962789917297,99.91158267020336,100.0,0.02652519893899239,0.04270962789917368,0.0,0.0884173297966413,100.0,0.1,0.8,1.25,0.001
Translation + scale + noise,1,Scaled,Multinomial logistic,99.92042440318303,0.02796001467876478,99.91158267020336,100.0,-0.008841732979664129,0.02796001467876588,-0.0884173297966413,0.0,99.91158267020336,0.1,0.8,1.25,0.001
Translation + scale + noise,1,Translated,Multinomial logistic,99.79664014146772,0.04270962789917276,99.73474801061008,99.82316534040672,0.02652519893899239,0.04270962789917368,0.0,0.0884173297966413,99.82316534040672,0.1,0.8,1.25,0.001
Translation + scale + noise,1,XY,Multinomial logistic,89.93810786914236,0.7694509341387928,88.50574712643679,90.98143236074272,9.796640141467723,0.7694509341387891,8.75331564986736,11.229000884173288,99.73474801061008,0.1,0.8,1.25,0.001
Translation + scale + noise,2,Angles,Multinomial logistic,93.52785145888595,0.5772386995506031,92.66136162687887,94.34129089301503,5.322723253757735,0.5772386995506074,4.509283819628649,6.1892130857648056,98.85057471264368,0.25,0.6,1.6,0.002
Translation + scale + noise,2,Distance,Multinomial logistic,99.54907161803713,0.23743158339078518,99.20424403183023,99.82316534040672,0.27409372236958235,0.2374315833907812,0.0,0.6189213085764891,99.82316534040672,0.25,0.6,1.6,0.002
Translation + scale + noise,2,Hybrid,Multinomial logistic,100.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,100.0,0.25,0.6,1.6,0.002
Translation + scale + noise,2,Norm. distance,Multinomial logistic,99.95579133510168,0.046600024464610264,99.91158267020336,100.0,0.04420866489832065,0.0466000244646098,0.0,0.0884173297966413,100.0,0.25,0.6,1.6,0.002
Translation + scale + noise,2,Scaled,Multinomial logistic,99.92926613616268,0.03728001957168814,99.91158267020336,100.0,-0.017683465959328258,0.037280019571687834,-0.0884173297966413,0.0,99.91158267020336,0.25,0.6,1.6,0.002
Translation + scale + noise,2,Translated,Multinomial logistic,99.61980548187445,0.19123051220170234,99.11582670203359,99.82316534040672,0.20335985853226646,0.19123051220169285,0.0,0.7073386383731304,99.82316534040672,0.25,0.6,1.6,0.002
Translation + scale + noise,2,XY,Multinomial logistic,58.364279398762164,1.0473711860732158,56.85234305923961,59.59328028293546,41.37046861184792,1.0473711860732158,40.141467727674616,42.88240495137047,99.73474801061008,0.25,0.6,1.6,0.002
Translation + scale + noise,3,Angles,Multinomial logistic,85.86206896551724,0.6354712594663855,84.96905393457118,86.91423519009726,12.988505747126435,0.6354712594663869,11.936339522546419,13.881520778072499,98.85057471264368,0.45,0.4,2.0,0.003
Translation + scale + noise,3,Distance,Multinomial logistic,96.64898320070733,0.5163148124016442,95.57913351016799,97.25906277630415,3.17418213969938,0.5163148124016438,2.564102564102569,4.244031830238725,99.82316534040672,0.45,0.4,2.0,0.003
Translation + scale + noise,3,Hybrid,Multinomial logistic,99.99115826702034,0.027960014678766933,99.91158267020336,100.0,0.008841732979664129,0.02796001467876588,0.0,0.0884173297966413,100.0,0.45,0.4,2.0,0.003
Translation + scale + noise,3,Norm. distance,Multinomial logistic,99.95579133510168,0.06252049347361302,99.82316534040672,100.0,0.04420866489832065,0.06252049347361245,0.0,0.1768346595932826,100.0,0.45,0.4,2.0,0.003
Translation + scale + noise,3,Scaled,Multinomial logistic,99.88505747126437,0.0727915651943912,99.73474801061008,100.0,0.02652519893899239,0.07279156519439216,-0.0884173297966413,0.1768346595932826,99.91158267020336,0.45,0.4,2.0,0.003
Translation + scale + noise,3,Translated,Multinomial logistic,97.1264367816092,0.5040563329350709,95.93280282935456,97.61273209549071,2.696728558797524,0.5040563329350717,2.210433244916004,3.8903625110521602,99.82316534040672,0.45,0.4,2.0,0.003
Translation + scale + noise,3,XY,Multinomial logistic,36.58709106984969,1.5153536938521126,34.217506631299734,38.90362511052166,63.147656940760385,1.5153536938521135,60.83112290008842,65.51724137931035,99.73474801061008,0.45,0.4,2.0,0.003
