dataset,classifier,ablation_variant,repeat,fold,split_id,accuracy,dimension,inner_cv_accuracy,best_params
HaGRID,Multinomial logistic,Hybrid - scale,0,4,4,85.38102643856921,225,86.52934828720626,{'model__C': 0.1}
HaGRID,Random forest,Hybrid - scale,0,4,4,84.29237947122861,225,85.55868526764918,"{'model__max_depth': None, 'model__max_features': 'log2', 'model__min_samples_leaf': 1, 'model__n_estimators': 300}"
HaGRID,Multinomial logistic,Hybrid - norm-dist,0,4,4,83.04821150855366,57,84.74387467402602,{'model__C': 1}
HaGRID,Random forest,Hybrid - norm-dist,0,4,4,85.22550544323484,57,85.94745701846982,"{'model__max_depth': None, 'model__max_features': 'log2', 'model__min_samples_leaf': 1, 'model__n_estimators': 300}"
HaGRID,Multinomial logistic,Hybrid - angle,0,4,4,86.78071539657853,252,87.65514009984324,{'model__C': 0.1}
HaGRID,Random forest,Hybrid - angle,0,4,4,86.15863141524106,252,87.30558020429964,"{'model__max_depth': None, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__n_estimators': 300}"
HaGRID,Multinomial logistic,Hybrid,1,0,5,89.44099378881988,267,87.33936481317156,{'model__C': 0.1}
HaGRID,Random forest,Hybrid,1,0,5,88.19875776397515,267,87.92184403360189,"{'model__max_depth': 20, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__n_estimators': 300}"
HaGRID,Multinomial logistic,Hybrid - scale,1,0,5,87.4223602484472,225,85.98042754038099,{'model__C': 0.1}
HaGRID,Random forest,Hybrid - scale,1,0,5,85.71428571428571,225,85.7474177613875,"{'model__max_depth': None, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__n_estimators': 300}"
HaGRID,Multinomial logistic,Hybrid - norm-dist,1,0,5,84.16149068322981,57,83.37792720796213,{'model__C': 1}
HaGRID,Random forest,Hybrid - norm-dist,1,0,5,86.33540372670807,57,85.59170101661371,"{'model__max_depth': 20, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__n_estimators': 300}"
HaGRID,Multinomial logistic,Hybrid - angle,1,0,5,89.59627329192547,252,87.06745976827467,{'model__C': 0.1}
HaGRID,Random forest,Hybrid - angle,1,0,5,87.5776397515528,252,87.41706489087164,"{'model__max_depth': None, 'model__max_features': 'log2', 'model__min_samples_leaf': 2, 'model__n_estimators': 300}"
HaGRID,Multinomial logistic,Hybrid,1,1,6,88.19875776397515,267,87.26184564368499,{'model__C': 0.1}
HaGRID,Random forest,Hybrid,1,1,6,88.9751552795031,267,87.02847404826451,"{'model__max_depth': None, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__n_estimators': 300}"
HaGRID,Multinomial logistic,Hybrid - scale,1,1,6,87.11180124223603,225,85.74723685317399,{'model__C': 0.1}
HaGRID,Random forest,Hybrid - scale,1,1,6,86.64596273291926,225,85.43625563416018,"{'model__max_depth': None, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__n_estimators': 300}"
HaGRID,Multinomial logistic,Hybrid - norm-dist,1,1,6,84.3167701863354,57,83.88288725890588,{'model__C': 1}
HaGRID,Random forest,Hybrid - norm-dist,1,1,6,86.18012422360249,57,85.70856772253745,"{'model__max_depth': 20, 'model__max_features': 'log2', 'model__min_samples_leaf': 1, 'model__n_estimators': 300}"
HaGRID,Multinomial logistic,Hybrid - angle,1,1,6,87.88819875776397,252,87.37835053318173,{'model__C': 0.1}
HaGRID,Random forest,Hybrid - angle,1,1,6,88.9751552795031,252,86.98985014468134,"{'model__max_depth': 20, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__n_estimators': 300}"
HaGRID,Multinomial logistic,Hybrid,1,2,7,87.26708074534162,267,87.33981708370533,{'model__C': 0.1}
HaGRID,Random forest,Hybrid,1,2,7,86.80124223602485,267,87.92229630413566,"{'model__max_depth': None, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__n_estimators': 300}"
HaGRID,Multinomial logistic,Hybrid - scale,1,2,7,84.78260869565217,225,86.25228735822449,{'model__C': 0.1}
HaGRID,Random forest,Hybrid - scale,1,2,7,85.40372670807453,225,85.6310033259975,"{'model__max_depth': None, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__n_estimators': 300}"
HaGRID,Multinomial logistic,Hybrid - norm-dist,1,2,7,83.22981366459628,57,84.03914672832018,{'model__C': 1}
HaGRID,Random forest,Hybrid - norm-dist,1,2,7,84.62732919254658,57,85.74782480486788,"{'model__max_depth': 20, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__n_estimators': 300}"
HaGRID,Multinomial logistic,Hybrid - angle,1,2,7,86.80124223602485,252,87.06791203880843,{'model__C': 0.1}
HaGRID,Random forest,Hybrid - angle,1,2,7,85.40372670807453,252,87.65057216745227,"{'model__max_depth': 20, 'model__max_features': 'log2', 'model__min_samples_leaf': 1, 'model__n_estimators': 300}"
HaGRID,Multinomial logistic,Hybrid,1,3,8,86.95652173913044,267,87.45627674614869,{'model__C': 0.1}
HaGRID,Random forest,Hybrid,1,3,8,86.49068322981367,267,87.88362717349912,"{'model__max_depth': None, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__n_estimators': 300}"
HaGRID,Multinomial logistic,Hybrid - scale,1,3,8,86.18012422360249,225,85.94216545322482,{'model__C': 0.1}
HaGRID,Random forest,Hybrid - scale,1,3,8,84.93788819875776,225,85.78640348139767,"{'model__max_depth': 20, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__n_estimators': 300}"
HaGRID,Multinomial logistic,Hybrid - norm-dist,1,3,8,84.3167701863354,57,83.57290103506635,{'model__C': 1}
HaGRID,Random forest,Hybrid - norm-dist,1,3,8,86.64596273291926,57,85.66998904600767,"{'model__max_depth': None, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__n_estimators': 300}"
HaGRID,Multinomial logistic,Hybrid - angle,1,3,8,86.95652173913044,252,87.53397682384877,{'model__C': 0.1}
HaGRID,Random forest,Hybrid - angle,1,3,8,85.86956521739131,252,87.61158644744211,"{'model__max_depth': 20, 'model__max_features': 'log2', 'model__min_samples_leaf': 1, 'model__n_estimators': 300}"
HaGRID,Multinomial logistic,Hybrid,1,4,9,88.18040435458786,267,87.42208509379638,{'model__C': 0.1}
HaGRID,Random forest,Hybrid,1,4,9,87.09175738724728,267,87.422039866743,"{'model__max_depth': 20, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__n_estimators': 300}"
HaGRID,Multinomial logistic,Hybrid - scale,1,4,9,86.78071539657853,225,86.21863843051271,{'model__C': 0.1}
HaGRID,Random forest,Hybrid - scale,1,4,9,85.69206842923795,225,85.83040940433257,"{'model__max_depth': 20, 'model__max_features': 'log2', 'model__min_samples_leaf': 1, 'model__n_estimators': 300}"
HaGRID,Multinomial logistic,Hybrid - norm-dist,1,4,9,85.8475894245723,57,82.95785833620526,{'model__C': 1}
HaGRID,Random forest,Hybrid - norm-dist,1,4,9,87.09175738724728,57,85.55873049470256,"{'model__max_depth': 20, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__n_estimators': 300}"
HaGRID,Multinomial logistic,Hybrid - angle,1,4,9,88.4914463452566,252,87.53849952918637,{'model__C': 0.1}
HaGRID,Random forest,Hybrid - angle,1,4,9,87.24727838258165,252,87.46088990559304,"{'model__max_depth': None, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__n_estimators': 300}"
HaGRID,Multinomial logistic,Hybrid,2,0,10,87.26708074534162,267,87.34058594361272,{'model__C': 0.1}
HaGRID,Random forest,Hybrid,2,0,10,87.26708074534162,267,87.45641242730882,"{'model__max_depth': 20, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__n_estimators': 300}"
HaGRID,Multinomial logistic,Hybrid - scale,2,0,10,84.78260869565217,225,85.94230113438496,{'model__C': 0.1}
HaGRID,Random forest,Hybrid - scale,2,0,10,84.62732919254658,225,85.98092503796812,"{'model__max_depth': 20, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__n_estimators': 300}"
HaGRID,Multinomial logistic,Hybrid - norm-dist,2,0,10,84.3167701863354,57,83.0293623075928,{'model__C': 1}
HaGRID,Random forest,Hybrid - norm-dist,2,0,10,86.0248447204969,57,85.47578407881086,"{'model__max_depth': 20, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__n_estimators': 300}"
HaGRID,Multinomial logistic,Hybrid - angle,2,0,10,87.26708074534162,252,87.06868089871583,{'model__C': 0.1}
HaGRID,Random forest,Hybrid - angle,2,0,10,86.64596273291926,252,87.33995276486546,"{'model__max_depth': 20, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__n_estimators': 300}"
HaGRID,Multinomial logistic,Hybrid,2,1,11,88.9751552795031,267,87.18432647419841,{'model__C': 0.1}
HaGRID,Random forest,Hybrid,2,1,11,88.81987577639751,267,87.3784409872885,"{'model__max_depth': None, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__n_estimators': 300}"
HaGRID,Multinomial logistic,Hybrid - scale,2,1,11,88.35403726708074,225,85.74746298844089,{'model__C': 0.1}
HaGRID,Random forest,Hybrid - scale,2,1,11,86.49068322981367,225,85.43661745058718,"{'model__max_depth': 20, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__n_estimators': 300}"
HaGRID,Multinomial logistic,Hybrid - norm-dist,2,1,11,84.62732919254658,57,83.30135780659646,{'model__C': 1}
HaGRID,Random forest,Hybrid - norm-dist,2,1,11,87.4223602484472,57,85.32042915046407,"{'model__max_depth': 20, 'model__max_features': 'log2', 'model__min_samples_leaf': 1, 'model__n_estimators': 300}"
HaGRID,Multinomial logistic,Hybrid - angle,2,1,11,88.66459627329193,252,87.26189087073837,{'model__C': 0.1}
HaGRID,Random forest,Hybrid - angle,2,1,11,88.04347826086956,252,87.10649071533821,"{'model__max_depth': 20, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__n_estimators': 300}"
HaGRID,Multinomial logistic,Hybrid,2,2,12,89.13043478260869,267,87.22290515072821,{'model__C': 0.1}
HaGRID,Random forest,Hybrid,2,2,12,88.19875776397515,267,87.3780339438081,"{'model__max_depth': None, 'model__max_features': 'log2', 'model__min_samples_leaf': 1, 'model__n_estimators': 300}"
HaGRID,Multinomial logistic,Hybrid - scale,2,2,12,86.64596273291926,225,85.9802014051141,{'model__C': 0.1}
HaGRID,Random forest,Hybrid - scale,2,2,12,86.64596273291926,225,85.31988642582357,"{'model__max_depth': 20, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__n_estimators': 300}"
HaGRID,Multinomial logistic,Hybrid - norm-dist,2,2,12,85.24844720496894,57,83.999799191883,{'model__C': 1}
HaGRID,Random forest,Hybrid - norm-dist,2,2,12,86.18012422360249,57,85.70852249548408,"{'model__max_depth': None, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__n_estimators': 300}"
HaGRID,Multinomial logistic,Hybrid - angle,2,2,12,89.13043478260869,252,87.33941004022495,{'model__C': 0.1}
HaGRID,Random forest,Hybrid - angle,2,2,12,88.35403726708074,252,87.33936481317156,"{'model__max_depth': 20, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__n_estimators': 300}"
HaGRID,Multinomial logistic,Hybrid,2,3,13,87.5776397515528,267,87.30146454244242,{'model__C': 0.1}
HaGRID,Random forest,Hybrid,2,3,13,86.95652173913044,267,87.41765284256554,"{'model__max_depth': None, 'model__max_features': 'log2', 'model__min_samples_leaf': 1, 'model__n_estimators': 300}"
HaGRID,Multinomial logistic,Hybrid - scale,2,3,13,86.80124223602485,225,85.74791525897463,{'model__C': 0.1}
HaGRID,Random forest,Hybrid - scale,2,3,13,85.55900621118012,225,84.97132152545424,"{'model__max_depth': None, 'model__max_features': 'log2', 'model__min_samples_leaf': 1, 'model__n_estimators': 300}"
HaGRID,Multinomial logistic,Hybrid - norm-dist,2,3,13,84.16149068322981,57,83.53459372085682,{'model__C': 1}
HaGRID,Random forest,Hybrid - norm-dist,2,3,13,85.09316770186336,57,85.7088390848577,"{'model__max_depth': 20, 'model__max_features': 'log2', 'model__min_samples_leaf': 1, 'model__n_estimators': 300}"
HaGRID,Multinomial logistic,Hybrid - angle,2,3,13,87.73291925465838,252,87.37893848487562,{'model__C': 0.1}
HaGRID,Random forest,Hybrid - angle,2,3,13,87.73291925465838,252,87.26247882243227,"{'model__max_depth': None, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__n_estimators': 300}"
HaGRID,Multinomial logistic,Hybrid,2,4,14,86.00311041990669,267,87.77214248692712,{'model__C': 0.1}
HaGRID,Random forest,Hybrid,2,4,14,87.09175738724728,267,87.6557732785905,"{'model__max_depth': 20, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__n_estimators': 300}"
HaGRID,Multinomial logistic,Hybrid - scale,2,4,14,85.38102643856921,225,86.25843823748363,{'model__C': 0.1}
HaGRID,Random forest,Hybrid - scale,2,4,14,84.44790046656298,225,85.98653319258673,"{'model__max_depth': 20, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__n_estimators': 300}"
HaGRID,Multinomial logistic,Hybrid - norm-dist,2,4,14,84.29237947122861,57,84.35618837248639,{'model__C': 1}
HaGRID,Random forest,Hybrid - norm-dist,2,4,14,85.38102643856921,57,85.36547529562662,"{'model__max_depth': 20, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__n_estimators': 300}"
HaGRID,Multinomial logistic,Hybrid - angle,2,4,14,86.15863141524106,252,87.53931361614714,{'model__C': 0.1}
HaGRID,Random forest,Hybrid - angle,2,4,14,87.09175738724728,252,87.57820888205057,"{'model__max_depth': 20, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__n_estimators': 300}"
HaGRID,Multinomial logistic,Hybrid,3,0,15,87.26708074534162,267,87.84423441000855,{'model__C': 0.1}
HaGRID,Random forest,Hybrid,3,0,15,87.4223602484472,267,87.92193448770864,"{'model__max_depth': None, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__n_estimators': 300}"
HaGRID,Multinomial logistic,Hybrid - scale,3,0,15,87.11180124223603,225,86.13582769578113,{'model__C': 0.1}
HaGRID,Random forest,Hybrid - scale,3,0,15,86.64596273291926,225,85.90254655446739,"{'model__max_depth': 20, 'model__max_features': 'log2', 'model__min_samples_leaf': 1, 'model__n_estimators': 300}"
HaGRID,Multinomial logistic,Hybrid - norm-dist,3,0,15,83.22981366459628,57,84.5044878805065,{'model__C': 1}
HaGRID,Random forest,Hybrid - norm-dist,3,0,15,85.09316770186336,57,86.05799193692091,"{'model__max_depth': None, 'model__max_features': 'log2', 'model__min_samples_leaf': 1, 'model__n_estimators': 300}"
HaGRID,Multinomial logistic,Hybrid - angle,3,0,15,86.95652173913044,252,87.53356978036838,{'model__C': 0.1}
HaGRID,Random forest,Hybrid - angle,3,0,15,87.4223602484472,252,87.5337506885819,"{'model__max_depth': None, 'model__max_features': 'log2', 'model__min_samples_leaf': 2, 'model__n_estimators': 300}"
HaGRID,Multinomial logistic,Hybrid,3,1,16,86.95652173913044,267,86.91264756456839,{'model__C': 0.1}
HaGRID,Random forest,Hybrid,3,1,16,86.95652173913044,267,87.76698660284225,"{'model__max_depth': None, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__n_estimators': 300}"
HaGRID,Multinomial logistic,Hybrid - scale,3,1,16,85.40372670807453,225,85.59219851420085,{'model__C': 0.1}
HaGRID,Random forest,Hybrid - scale,3,1,16,85.24844720496894,225,85.59219851420083,"{'model__max_depth': None, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__n_estimators': 300}"
HaGRID,Multinomial logistic,Hybrid - norm-dist,3,1,16,82.7639751552795,57,84.23321601435688,{'model__C': 1}
