,Predicted call,Predicted dislike,Predicted fist,Predicted four,Predicted grabbing,Predicted grip,Predicted hand_heart,Predicted hand_heart2,Predicted holy,Predicted like,Predicted little_finger,Predicted middle_finger,Predicted mute,Predicted no_gesture,Predicted ok,Predicted one,Predicted palm,Predicted peace,Predicted peace_inverted,Predicted point,Predicted rock,Predicted stop,Predicted stop_inverted,Predicted take_picture,Predicted three,Predicted three2,Predicted three3,Predicted three_gun,Predicted thumb_index,Predicted thumb_index2,Predicted timeout,Predicted two_up,Predicted two_up_inverted,Predicted xsign
Actual little_finger,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Actual middle_finger,0,0,0,0,0,1,0,0,0,0,0,16,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Actual mute,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
Actual no_gesture,0,0,0,0,1,0,0,2,1,0,0,0,0,5,1,0,3,0,0,2,0,2,0,0,0,0,0,0,0,0,2,0,0,1
Actual ok,0,0,0,0,0,1,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Actual one,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,10,0,0,0,0,1,1,1,0,1,0,0,0,1,1,0,0,0,0
Actual palm,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Actual peace,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,13,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Actual peace_inverted,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,11,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0
Actual point,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10,0,0,0,2,0,2,0,1,0,0,0,0,0,1
Actual rock,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,17,0,1,0,0,0,0,0,0,0,0,0,0,0
Actual stop,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9,5,0,0,0,0,0,0,0,2,0,0,0
Actual stop_inverted,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,1,14,0,0,0,0,0,0,0,0,0,0,0
Actual take_picture,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,13,0,0,0,0,1,3,0,0,0,0
Actual three,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,16,0,0,0,0,0,0,0,0,0
Actual three2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,1,0,0,0
Actual three3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0
Actual three_gun,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,18,0,0,0,0,1,0
Actual thumb_index,0,0,0,0,0,0,0,0,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,3,0,0,0,0
Actual thumb_index2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,13,0,0,0,0
Actual timeout,0,0,0,0,0,0,0,0,7,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0
Actual two_up,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,16,1,0
Actual two_up_inverted,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,3,13,0
Actual xsign,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
