feature,importance
y12,0.047620710066767644
y4,0.04568231224249332
y8,0.0368437162964402
y20,0.03636708627978765
y16,0.035759081916074076
x4,0.03393204007178459
y11,0.03385958526079268
y15,0.03230816128196208
y3,0.0322673329247188
y7,0.02820288426475204
y19,0.02818120665266453
x20,0.026999057088720836
y0,0.02564680544195214
x0,0.02496014210566853
x18,0.02494927229766168
y17,0.024208064927599936
x19,0.02358327272108058
x17,0.02321867315349948
y5,0.02298866037794565
y18,0.022659355988524577
y1,0.022455288790582343
y2,0.022366086753472212
x12,0.022342220723177573
x8,0.020897292374934696
y14,0.02053882796646724
y6,0.020425931287791393
y10,0.01924229457130906
x1,0.0191879815903805
x11,0.019004570501161944
y9,0.018031179266898494
x14,0.017411359218935718
y13,0.017279672093971587
x13,0.01717321092797361
x16,0.016461959770924562
x3,0.01644977131094361
x7,0.015939543386325958
x15,0.015163525219568093
x10,0.014842306274854595
x5,0.014119480743259635
x2,0.01405466553118093
x6,0.01366089412149082
x9,0.012714516213504464
