representation,n_observations,n_predictors,n_classes,train_accuracy,test_accuracy,train_error,test_error,cv_best_accuracy,best_n_estimators,best_max_depth,best_max_features,best_min_samples_leaf
raw_xy,1839,42,36,1.0,0.9565217391304348,0.0,0.04347826086956519,0.9462953995157385,300,20.0,sqrt,1
raw_xyz,1839,63,36,1.0,0.9565217391304348,0.0,0.04347826086956519,0.942227602905569,500,,sqrt,1
translated_xy,1839,42,36,1.0,0.9375,0.0,0.0625,0.9388147123256083,300,,sqrt,1
scaled_xy,1839,42,36,1.0,0.9239130434782609,0.0,0.07608695652173914,0.9367831200276722,500,,sqrt,1
distances_xy,1839,210,36,1.0,0.9347826086956522,0.0,0.06521739130434778,0.9347330796725469,500,,sqrt,1
normalized_distances_xy,1839,210,36,1.0,0.9402173913043478,0.0,0.05978260869565222,0.9306537530266343,500,,log2,1
angles_xy,1839,15,36,1.0,0.9157608695652174,0.0,0.0842391304347826,0.8878404243053153,500,,sqrt,1
hybrid,1839,267,36,1.0,0.9456521739130435,0.0,0.05434782608695654,0.9401729505361468,100,20.0,sqrt,1
