,x0_scale,y0_scale,x1_scale,y1_scale,x2_scale,y2_scale,x3_scale,y3_scale,x4_scale,y4_scale,x5_scale,y5_scale,x6_scale,y6_scale,x7_scale,y7_scale,x8_scale,y8_scale,x9_scale,y9_scale,x10_scale,y10_scale,x11_scale,y11_scale,x12_scale,y12_scale,x13_scale,y13_scale,x14_scale,y14_scale,x15_scale,y15_scale,x16_scale,y16_scale,x17_scale,y17_scale,x18_scale,y18_scale,x19_scale,y19_scale,x20_scale,y20_scale
call,0.0825366090201909,0.018887978814067195,0.004867183396971404,4.250063368392225,-5.64796074782483,-3.8253093027458704,8.405231096533685,5.34345702317227,-3.8541977344161595,-6.814193891968699,-0.9738368357180223,-2.1798754123135637,-0.5528053968713077,5.352517021624291,4.6995015248341465,-2.780261832169812,-4.232184319914971,0.5154411748618222,0.29480756939126934,1.1791925847712548,0.36644320581086215,4.934782480627139,-0.41321554433268093,-0.13975344991560645,0.5140304539220959,0.4772273996329681,2.2215370470497406,-5.141521485838767,-2.1703889563425904,-6.17341424128327,-3.503973005796718,5.938050167422942,2.902517632425738,-2.848180329089946,-0.9606667338806945,2.0723799189552143,-1.986694733007127,0.23028679531982707,3.7971807097643633,-0.2080629982023061,-1.8966399332436625,1.295093631944832
dislike,0.6250511717496327,-3.023136760029101,-0.94616420953152,-5.283710445162885,2.684445676500568,17.35694335169956,-2.348823400173493,-15.349415110717482,1.2471729016279267,5.761173250899017,2.0857487994185173,-6.001808525767419,2.4061319324392043,3.3919278496728418,-6.945469061631686,0.0950375593161596,5.22182550120455,-1.384929779094232,-3.7432648662087082,0.6864061870997858,0.13756929929180706,-2.868069511701534,2.7688996662896175,1.4170069546347523,-2.2959686757242523,-3.072924788889101,2.4658580651481903,8.25966977021103,-0.13025055638987482,1.5553776841586333,-1.0993854633552531,5.857795942776268,-1.3191830771170827,-1.696447750482228,0.6056843990320501,-6.327873443021583,-1.9382115736290797,-3.8484883773648315,3.684029343267887,-2.18622818978034,0.15850413985739858,1.2413456595558705
fist,-0.18613070408938592,1.0413194793782155,-3.7564288542237776,-5.735286216272951,1.8503575534262104,2.8537380026306893,1.2671796029299076,-0.35756269631430027,-2.405433932001848,-3.0179008895275072,1.373952323948469,2.033293788708676,1.6500927587270382,2.5807534734553226,3.04818317573336,-1.454635826040745,-3.673472017174654,1.6365669904819031,-0.607731880372684,-2.099044678298183,-7.545833844637608,-10.699571020613606,1.3763923316054798,8.300524635872383,0.9072699519806653,-0.5580094999930325,0.6150932279952583,-0.12159389761971426,5.2979305896499085,1.4825838567227485,0.02319478546109387,10.369922999160964,0.6855785156111074,-11.198419514475532,-0.7200027493111871,3.407901323653245,2.9404501125615257,-8.381217947317218,-5.097407812129908,4.4419003280757074,-0.10766915433099677,0.3143705474606222
four,0.797833211629145,-2.9919594600858037,-0.8770697125457297,3.577339655487633,1.2871154843456816,1.4441638339577914,0.6080560270063378,-16.456807297985268,-0.5475499044867852,11.274360318344138,-0.9316884368776394,12.572752637463209,-1.0347175458801687,1.217233747230845,0.7992672390421002,6.668993425969112,0.37470645980866096,-3.7098547260645605,-1.4692927493760524,-16.052113625820645,2.0420864942632106,-6.614732855105338,0.24264295630849944,-0.8657705729003415,-0.6981672485221838,-2.4556905477068516,3.011356516151018,6.233289193799951,-1.271597788147154,5.397876274727878,-3.3889359686858187,-2.2279477725407504,3.52879897803798,-0.6273724437026951,-2.369826946125027,-1.7884266644561326,2.685334684124818,5.4573300064541606,0.34806615463162405,-1.3570946715206458,-1.9766877503660916,0.7625343531602315
grabbing,-1.5955999415153075,3.8802015797217697,3.227248119573574,-2.571189581732206,-1.5711540584177188,2.702533741040396,-0.3988622827900067,-0.14557208568739727,0.14289189743287536,2.9610345729589875,-1.8081081923057247,-6.470457084538034,-2.6662636044905534,6.361124461592083,1.113996032799075,-8.210019946719823,1.0734000591249309,7.2315910607860845,1.503759607421312,6.752687989795362,-0.49992291997907295,1.1305757517963753,1.5182701716154765,-9.837964116341398,-1.9916482137174933,6.823676629358982,-1.4442969704232942,-1.7441681224799097,6.230235078451958,1.136142923352725,-1.087823012137011,-6.250899374849179,0.29860600127513104,1.0350985395247547,3.299500890673054,-5.908940469707448,-7.739672037023215,6.349201843511624,-1.5057357382504615,0.9507035723034448,1.5356433338496789,2.2232603414810823
grip,0.7111515979149666,2.493808666002512,-1.1969989080002355,0.6810942245761745,-0.23130670759327124,-7.4456817813817056,0.6791652326374488,11.508060509468303,-0.35230683681984326,-6.510688340555247,0.5390128028367929,-2.621124875388634,1.0168774916812524,2.7428837060659537,-1.0605008559736373,-5.863070076036354,-0.33653092607953716,5.240089780429459,0.3906088205569394,3.58517465353519,-1.8454372962231906,1.2092495844943734,-0.8594102227142885,-0.5493992473827095,0.6009027304581441,5.216681641449448,-0.8044795150243734,-1.418420854570706,2.657346506399971,-1.593174064052389,2.8265562639782553,-6.889902947999332,-2.055598455781062,3.6592137141432617,-1.641681243930209,-0.7903048784904511,-1.1754242392852612,3.0289358428776865,-2.4160767632153917,-6.369690511054059,2.4691719890815476,3.3017441260363807
hand_heart,2.1875369471781902,0.061116083064781945,-1.7961143533802306,0.6598781086946175,-0.6987024735099049,-3.4964230840096913,-0.7043764245032127,4.696601075586025,-1.2519291362339307,10.177925472557721,-0.05651852130417285,-2.7264413939824355,1.2308537645335902,-6.901447925526146,1.1890868769156973,0.8437141425781856,2.1666398428796287,6.4549134352906,-1.10847759717955,4.291131458573609,2.0412735638165964,-1.016235991475016,-0.0622008896120795,-0.4605335908607355,-1.5449881970286665,-4.526814312080889,-0.9810663892173986,5.555791435121181,-1.5403679931869574,0.12317408483272788,-0.5896495967088335,1.4913445570669277,0.9424757992326873,-0.7560559753845003,0.17410835543903835,1.5627331325515081,0.8597237587410256,2.486851005206059,0.46127005715570696,-2.327907157435461,-0.781697505299858,-6.715243266112984
hand_heart2,-2.3257056156754596,1.9223200202349568,3.188544134737435,-2.480301123005454,2.274922431357495,-1.5115122998132102,0.03116238471167452,2.5440087172658155,-0.9220632690793754,6.463452834303528,1.7157575987463538,0.6404655769690613,-1.1446944307253908,-5.118929179286685,-0.6927494970441139,-1.8491711649486886,0.29747822780890915,-1.2428037738132727,1.5838349922608848,1.4295988059001048,0.6083804155478622,-5.31902762546034,0.24392492549364478,-0.35583156491466655,-1.765778585128105,3.0943002592176523,-0.586810646658348,0.4942724347365255,0.18178016797965174,-5.198767899390767,0.9285538364849988,-2.397697914477046,-1.3972234011724363,0.6274846727836672,-1.6271283854239835,0.5983988308221838,0.6169313173546664,-2.8646294212679146,1.4230120979902454,-1.152863062624928,0.3221498389222213,1.663175435554586
holy,-1.0871810025983555,12.115719660819488,4.594110935464762,-12.36336761175485,-8.516819757011666,-1.3871468175580017,7.016485269288792,3.2343429355578768,-3.278187106397218,-4.300012506591685,-3.9787032427310525,3.577206253703066,7.739718478420097,5.62334225844764,0.5576727410578646,4.312285116102216,-5.056647865958955,-6.968979313307508,6.22499281045471,-2.8858816466222748,-4.512790203897458,3.218486261117399,-1.7051169424603139,1.8860564151812054,3.7276008778967182,-8.385555655725687,-7.997701425707117,-3.377283770798226,6.040827412921877,0.6563080825750871,-6.421760629710469,-3.4811987591842533,3.9804818484380977,-6.8485074666788455,2.020536383168239,0.5711762873854049,2.8130640058204004,7.33443487212546,-4.741707449489094,2.223160675201148,2.440409439818884,-3.428254186491611
like,-2.817739136038964,-4.123529413819352,4.0006532372457,11.300845809899041,-3.7090838690900565,-12.81597874191465,-0.47647755980693834,6.799574010606809,1.3254477459533374,-4.1533577429239195,-0.3002735174655525,4.874848787727657,0.10392238657777157,-0.007790130336545906,2.0234741375463217,3.9815443207999497,-1.941817787915298,-4.894033815937862,3.7723386503894174,-2.1579346170039426,-3.030925963179246,3.856179643026125,2.5558164195168906,2.9246485057609717,-1.1430796218139694,1.1830762578642924,-8.021419692882786,-7.5294835511793385,1.0508538737667876,-6.032296449837428,0.7103875085190009,-5.363965909619769,-0.19027975932573132,6.221331794813034,7.78193256929771,6.949146519342076,-0.39198546003869705,9.615794379812561,-2.2263286303209635,-8.16486445817909,0.8512622714859449,4.237094389795924
little_finger,-1.8091772758752853,-0.42039931854410145,2.311165473122284,-0.7074928563689432,-1.3063672924920544,0.3479741700788726,-1.3834247246081466,0.9407332548958098,0.9777704422449556,1.1279678463252716,1.010928857359116,-0.5510706167512471,-0.3980259276522752,-0.8403824674609135,4.229792614191646,-2.179967018561526,-5.998880065720798,6.365537236987725,1.0737046603349067,-0.8288819646677007,-3.796486928525015,-3.3876721811618866,5.912944396613942,1.3275835979293713,-5.681720170654283,-1.3517705498405603,-1.6281549080533626,4.3262036181427455,-0.6815758014577499,-5.168403908718841,3.0131135032679572,3.325699985644328,2.324464236058087,9.722108241818963,-3.6379777793780343,-3.302671921772729,0.1664413189444662,12.343991790873119,3.9175669936752806,-4.031675970280261,-2.9371115177586598,-12.152585580360912
middle_finger,1.5523934387947902,-2.390856010771365,-0.07278914950973732,-1.6201870387555717,-3.4365793571668544,8.73823516794556,2.9161088878046777,-11.175534234480303,-0.31211594535123216,4.757056255278252,0.15879982800737885,-1.5415395476871117,-2.638271662763845,-8.222478155282829,0.7437797615997689,5.5500992467309,1.1797403276921032,4.030907767284959,1.5983674018928316,2.211463106003866,2.243311677908173,1.3942287451672226,-1.8956967526714883,-3.558367590826427,0.6382160885568652,-6.683459441797756,-2.832304635498798,6.125883063529736,1.3361296367136826,4.987652199290709,0.4561468578728597,0.5339282126747467,-0.9574414077872206,4.479133813125934,0.6014087304080459,-7.556257148955572,-1.722714678368361,-2.6755997974969237,-3.62702487886807,4.210274289349336,4.0570496986613565,-4.684670828130974
mute,0.017869593107446537,3.4182202697222346,-1.2800549983670557,-1.9037676081539794,3.680431216671443,-6.683750895250442,-3.9959790214932696,17.090944654237497,2.129616772979629,-12.154384693731652,-1.4393620626431585,1.33556673775972,-1.0890416301303263,3.385187664984567,3.083270019482326,3.339954472973783,-0.999512924971625,-7.939981921948411,6.749244656020257,-5.424684398698044,-4.728117941202759,1.1334299192973245,-0.4698819114285661,3.02113611355009,0.06987932996404243,1.3279278878742302,-10.339653517297187,8.15955635172355,6.893710820651031,-8.630010486406587,0.6558227340757127,2.506738530143759,-1.330858979787553,3.2366697891695004,4.403433855656784,-8.106970243367735,1.8679161524172552,6.489345744824957,-5.082240438039434,-2.6496633323512873,2.56129435568196,2.395732156659566
