,x0,y0,z0,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6,x7,y7,z7,x8,y8,z8,x9,y9,z9,x10,y10,z10,x11,y11,z11,x12,y12,z12,x13,y13,z13,x14,y14,z14,x15,y15,z15,x16,y16,z16,x17,y17,z17,x18,y18,z18,x19,y19,z19,x20,y20,z20
call,3.83343508197856,4.806501720939279,-1.819719295646328,-6.699780439486029,3.1928534133994035,5.450000907893958,-0.898156883532152,1.6462037589356204,-3.8948852371095537,3.024777346139489,-3.773944087203641,-5.20926247523069,-2.916161560104483,-15.076294860578773,8.17683373466955,1.055460762215424,-3.7390956463517395,-3.1324930471413506,5.956266643004127,10.282874542113937,5.716703819213838,-0.7995866333357777,4.793761478301546,2.4288433726880116,-3.0673283650956473,-4.016825596328592,-1.8997181203425724,2.3582195849932166,-3.75494080061882,-7.125387276392709,3.7320306769173954,10.708377268273269,6.636395179041256,-1.6150991999533233,6.517079638862881,0.4591758119137535,2.336823123072812,-2.0623323709692203,-3.371666654381609,0.9655402079623829,-5.972084028226579,-1.6935905866276248,-2.281160834712369,2.848773008374747,-7.506286029502268,-3.7422884656120705,2.0766767028206177,-5.815157613034288,2.4866232393736243,-3.8857577423593828,3.519688729002397,-0.5823883893803644,-6.872971582091579,8.982481384669462,-3.402774718935801,1.362836493589918,4.085379603733986,-2.2117384515496328,2.462204208228668,-2.020375295851815,2.569856143015334,-1.3206465219970016,-1.7973879548230642
dislike,1.206499310313309,-3.059788817119866,-2.5558551664255225,-2.128513158398412,0.6747464733377897,4.96769879856773,-0.0826927865304486,5.129063665828231,-0.008402670173217582,2.7077707154111943,2.017673256791113,-3.154528791800299,1.8520827522681005,3.173780557912427,-1.7691423148257215,-1.5386591671681795,0.5488018596914114,3.3626660115274167,2.8131544166043327,-4.268871004725485,-10.200478054056815,1.0851345560179804,2.890158647585848,-2.9653326360772017,-1.0976550844098334,3.075908132224068,7.161241057099681,-1.9604254959287746,-0.06928438905487018,3.9292900321509396,-3.387265460641732,0.7317490024273164,-1.6066164440923685,-2.4934236869671693,1.1253408018446402,0.1606949024711884,-3.2386277782700827,-4.108265323508795,-1.1308700818673099,-0.7185501286717006,-0.6388804765925542,0.35640536400431844,-1.5455443297926459,0.9430364797063119,-2.6277274388792957,-0.9053237000193299,2.2931442513349642,1.1363761308640923,-3.0563707396818556,-3.4079463168696686,-0.9063216893376609,1.8591519129019816,-4.987730209714019,-0.1820358740539649,3.597137283182756,-4.916617089353002,1.2270465264501016,4.75977831841764,0.5299050648485014,2.187392237976543,3.2894961277383996,2.045887845838189,1.218823596139259
fist,-1.4982308827591089,5.379810434261038,0.041394045466291315,-6.079522271484885,-0.2679889172682392,-2.187767173617083,0.2803846033319023,1.2264668296451942,0.016136385313535444,2.2442874823632533,-4.505875991404661,1.8009245381861312,-2.215340630671733,-4.245995223864493,3.9185959728580606,4.172945575964573,-2.549555837310807,5.444992688087072,-2.2181311480897588,-3.8963191795350083,-9.420945213785746,-1.3361781924253513,7.115275368863472,-3.5534468597735267,2.333288675361983,8.442852216678073,3.247524992813141,3.113568009111161,-1.202373534989189,5.152080951532064,-3.675523393338905,-4.418580417800808,-5.1883806924758336,-3.2882769399887724,6.619483189271085,-3.77166358578251,2.5129729645267966,-0.3996834543305922,5.203808332773771,2.3855477592242127,-0.6180125632155866,2.659456800790041,0.1661858491086462,-3.5494703163850714,-3.1943710225127213,-0.0216559325028451,3.394358043898455,-1.4231816161909685,4.136954333958037,-5.80560074980116,-0.03373156226776818,1.2782777495676265,-0.4794203795618442,0.6288916248117549,0.19985674492264807,-5.529600702153371,0.4330381301414202,-2.2361827000350214,2.9160503834574163,1.191445570847593,-0.4145197386412463,2.2864194870191894,0.7570726849574962
four,2.2408312013970244,7.103235954310332,-0.8613928194113268,-0.3557143097200802,1.7274444586667463,-2.7234703116994305,1.3209045282674192,-13.897613798103057,-6.604179825980138,-1.0639487119177156,-15.252657945446579,-2.366079762366754,0.015848853985774864,19.026065532001656,7.02831265483837,-2.5285582026375186,9.714285803722335,1.3592656704350565,-0.5677215682254124,12.618577762174938,5.822838309564069,0.09460408902607732,5.357080634439776,8.10557772069417,1.3425077995035037,-0.7591856525593031,-10.653997562737455,-2.03504999734863,-5.303334484569512,-2.286620931483033,2.514618190895287,-5.158675481089741,-9.755234492037365,2.043283583700669,-8.124905158697961,-0.2274215305581122,1.0077002605283802,-8.880536753720735,15.518359659374724,-0.26715382769301166,-4.522508868692365,-3.395243914234579,-0.15820630932499138,1.627368399600211,10.686246698331018,-0.7779105780556761,1.5224569133071109,-3.149405267476519,-1.3286766647183865,1.800018474797397,-7.733321969682321,-0.2307022325967243,-1.169690564650451,-7.121331792308996,0.3503400408337394,2.7339994062945627,6.540008023717728,-0.10174007258702296,0.1115123821395627,3.022805970243584,-1.5009302594314624,-0.622565425316438,-6.4763166463865245
grabbing,-2.863548598431953,-3.5196514736285764,-0.8429741811359067,1.7388665430596264,0.05211823448110002,-1.9250007204083825,1.5068319422549346,3.2490442838905396,0.20253635525106134,3.7088700483804886,6.014347659562433,-5.115807552251275,-3.07233074814158,4.761573837719018,1.650470830450096,-0.6710821834158576,-3.2822187333296573,4.232704469096091,-5.1973703537404345,4.435429739734555,-6.855886359520105,0.9122625934680281,-4.3195641012560015,-10.124734166224709,1.1063965179401019,0.5691114998049435,11.74825883075881,1.8357941802432256,-3.3079659417137135,0.33003509406897363,0.8689238247784682,-0.010210109452261137,7.594803272579557,2.0559283901902528,-6.681185120432548,-1.5260441158460862,-1.425598537680906,3.5808761316605033,5.337169027472956,1.978021885765658,-4.150883429399956,-3.880805670305672,2.0142497061073863,-2.130677196752639,4.746366193155912,1.8685026975293075,-8.872107035105598,-4.33851664743969,0.3249032753278931,-2.8533238692535936,-2.9943980618975976,-0.09521990077930709,-0.5894673701891376,-2.0322483428422835,-5.452277473646061,9.033913368854863,-1.8081085641810493,-2.1152935157258352,3.815816726625209,-4.45071893290806,0.8721899929921099,5.035802650720415,5.309169778894021
grip,4.618330876928117,8.566385811353209,0.4445049577427589,-1.6833612699715699,-3.4679026617825763,4.458858322136352,-2.8519148773809344,-5.475431972100877,-1.458898368959439,-1.089041517247941,5.144456957213364,-6.076080049014149,2.2654824462854672,-3.680656176609888,1.3139911147905534,0.9411458613605097,-6.945835715848412,2.2648246995551067,1.4643119369015665,-0.2547712035089176,1.4754883254654574,-1.6425480836511344,1.5627470026963963,-3.710468315252102,-0.041987242162861774,13.145554755900275,2.670246769231475,-0.7390664649993799,-1.087846941425098,0.46041564516844546,-0.35007995580694,-0.867551502402618,-0.8166710941865166,-1.7962863108566396,0.2687943580478466,-5.0403649944505995,0.5022165698682147,14.306377353573122,-1.1034437606770537,-1.8284840601892576,1.9750226768230277,0.30180895278223135,3.6537206689186172,-6.305174668173796,10.28886728968119,2.5322213425684996,-9.763634863414726,-1.5040625021894667,3.551021808947883,-0.03865324563188037,-0.3104234010783583,-2.0456053976202444,4.513289959515662,-2.238891364357161,-0.1155290038178643,-5.8084108465511095,0.9605909120063025,-2.8156349533540426,-7.725168407595509,-3.950883299778846,-2.887200392005678,3.0316577225922634,3.311955188355662
hand_heart,2.1425549716108105,-3.227873943983006,3.7096944390053137,0.6021941851101671,-2.563807019594375,8.335488399353364,0.09663167002452819,-3.3634098398970056,0.8113214190222807,-0.019045441437022394,5.485065368942496,-1.6369897389743813,-2.3598330149101177,14.563395548613931,-4.362655901039631,-2.1413723721705233,-1.1791201501389657,0.8592600275465142,0.5732043175935633,-4.137786193342286,-1.2204496761294927,1.3730816256975218,2.7362139032031774,-3.8235299935711278,1.9553268481317025,9.03917886980537,-4.520146317186336,-1.4681738134177345,2.6708672017099913,0.5296421034583,0.5648873873190077,-1.4677921682765043,6.418119508109782,0.7555335128407157,-2.7593095010061632,3.31002440368363,0.8747943266203793,-6.051361790908996,-2.1985303762726494,-0.6726209906273052,3.7984462196663085,0.01322701005005838,-0.353489463340853,2.0333389446030137,4.901996244897502,-0.5252829335756795,-0.29536374306573937,1.4796053410148906,-0.8656568235297616,-4.555743014343949,-4.7535635922422035,0.27972927346574195,1.7873757434260198,0.0594576727985546,0.4521963864524554,0.5122330582387903,1.8085049094989791,-0.5657596038375954,-3.732459960552431,1.1110892677868256,-1.334190129030657,-8.26871765983236,-2.92302568935982
hand_heart2,-2.732223516101625,-3.666963498471954,1.399386409608665,3.2977749511893966,-0.021012912037648768,5.119970422434648,2.4310503943428885,2.186828064882003,0.05967045220130894,-0.8666280278379477,5.546557206929399,-3.307230198471064,-2.7563872195138983,12.452433363990957,-2.915373227718599,3.772610345265494,2.8717458242152847,0.7812977497588103,1.5001554189156288,-7.9246984974494445,-0.14847445856688107,-1.0679663068320384,-3.2440832285994396,0.8504941836924377,-1.7351694686669308,1.315779797667953,3.876460554758577,1.8053428373773228,2.6766867092161153,0.6559566206817887,1.6048911295000567,-9.602278352898027,-4.2425806063152365,0.6648419107749036,-1.9694468773558333,-0.7110991688619756,-0.3014631859679336,5.138627609857499,4.125248813460366,-0.23964974277214068,1.705357204338181,-0.12271999992673265,0.13137381428306727,-8.070913175193922,1.989260563360642,-0.235475555166964,-1.6821947083401125,-0.6286608441418462,-1.3816902000636775,5.487023417378379,-0.056934105388070554,-2.1129008297778578,0.5018545564271317,-1.245335338025873,-1.2536017505436596,-5.625111953748341,4.108709658938255,-0.6815520698666927,-1.8525378412639553,-0.49102700472361055,-0.7096509982055729,3.704635413073988,-4.640076800956254
holy,0.8112807419356596,1.9345175853121155,1.195735089806514,2.2061554457021506,-9.626496076311565,-0.0471513048577841,-2.0658527029534848,-3.936701960955284,1.1513584218285688,1.3046188040442408,-3.112458273498318,1.6438188253337598,0.7471380106136764,-4.010176137257278,4.238645180297306,-1.8965031196958193,8.96007695172022,4.997727508527411,1.932419073176456,7.121517003488611,-2.581564639553223,0.3098612139858093,1.2831006278636978,-4.073226648827233,-0.9975645612062898,-6.817705017989467,-6.367259496286847,-2.8120136058933354,6.529591074685496,2.537315881899146,-0.19485065585651615,7.100030911858098,-1.518188928208406,0.23650633911680435,1.897911092366833,-1.0652261386227742,2.8004393227543285,-6.739033933396466,-0.9999799303802802,-3.0940024953218384,3.1854774003724304,2.8589122533346045,0.04228567951731308,5.050501004071996,7.935399622263619,-0.8344736104025338,-2.5706918056327646,6.369547966243055,0.5174900667002734,-10.753075628270661,5.21513199489126,1.1325136334009271,0.43987226911709865,-0.25302854972613376,-0.053286886353837555,4.288985878826073,-0.7335438088839855,-0.9454392926520241,1.9129577969970009,-6.556048399338246,0.3907897011006798,-1.9630772792784283,-9.347805903282037
like,-4.929146744392352,-6.226647429775841,-1.7646743533131226,1.4517853486677463,9.71129348450493,-0.7067862431260931,0.3188067362922527,2.0555318847515114,-3.630442753487356,-0.6423051136504436,-1.6332028578866593,-1.0415533307311504,1.1782140310646487,-18.4398617023263,5.202451493417191,1.2279336517086616,9.790173686656273,3.1141534949256826,-2.2337102374277884,5.355287889548206,-8.093608560582847,-0.40325363624798866,-0.06724965052877087,-3.6581531712115276,1.6682566537158294,-3.786103908639972,4.7682372341552535,-0.3043209191373706,-1.1720585813331224,1.8829790711828132,-4.49909836768661,-1.0650557586222824,2.4879415135335465,-1.4300714934073857,3.247828151539107,1.4569262789836661,-1.9387097426848443,7.152745676087859,-8.019535802172037,-0.8748653686826624,-4.801516171449603,-3.58785392265462,1.047934197726479,-5.706702514138139,9.816319376006545,5.642757859531531,0.2031822046836769,12.248742948410912,7.467987445891417,6.775924082660373,-4.384866739253069,2.3784659953715312,-1.7573660405301181,-5.22076621825629,-1.6706069957789713,-2.1404972127649966,-8.439037842588096,-1.9119473715595818,-2.155417247739446,3.406183354542481,-0.7033709659195513,4.7724961942011275,1.5439302361734555
