representation,n_observations,n_predictors,n_classes,train_accuracy,test_accuracy,train_error,test_error,cv_best_accuracy,best_C
raw_xy,1839,42,36,0.9898028552005439,0.9239130434782609,0.010197144799456104,0.07608695652173914,0.9354041277527962,100
raw_xyz,1839,63,36,0.9870836165873556,0.9211956521739131,0.01291638341264445,0.07880434782608692,0.9333702294477113,10
translated_xy,1839,42,36,0.9918422841604351,0.9293478260869565,0.008157715839564927,0.07065217391304346,0.9320189092586186,100
scaled_xy,1839,42,36,0.9578518014955812,0.9103260869565217,0.042148198504418755,0.08967391304347827,0.9191052692263346,1
distances_xy,1839,210,36,0.9979605710401088,0.9429347826086957,0.0020394289598911763,0.057065217391304324,0.9306468350051885,10
normalized_distances_xy,1839,210,36,1.0,0.9510869565217391,0.0,0.048913043478260865,0.9252138821630348,100
angles_xy,1839,15,36,0.9129843643779741,0.8614130434782609,0.08701563562202586,0.13858695652173914,0.8511334025135477,10
hybrid,1839,267,36,0.9986403806934059,0.9510869565217391,0.0013596193065941176,0.048913043478260865,0.9313294131211807,10
