feature,importance
y12,0.03421007462051671
y20,0.03275237089394379
z17,0.032236759160907395
z19,0.030006616928066488
y15,0.028812664240435333
y16,0.027184436798999623
y4,0.026891862594959133
y8,0.025810583947894806
x0,0.02575353399573817
y14,0.02401393035235965
y19,0.023608621188552496
z16,0.023549395506081587
z0,0.022174511540428803
z18,0.022111731753521248
z20,0.021981386750001136
y11,0.02159327551110297
z14,0.02072719002524749
x4,0.01943814526914738
z6,0.018861893683780405
y3,0.018739632194111042
z1,0.01873691222277574
x1,0.018440057709992453
y2,0.017344395311308856
z5,0.017177766518837567
z13,0.017126045725530316
y18,0.017005200820460073
z7,0.0167707543138865
z15,0.016664204311516894
z9,0.01575482012213566
z10,0.015716788905753346
z3,0.015118482856060234
z2,0.014501999727628247
x8,0.014345272861951447
y10,0.013585332772014158
y7,0.013418568887326367
x3,0.013312002429933419
x7,0.01279588838571173
z11,0.01225475787490396
x13,0.011765133612326199
z8,0.01150390909509462
x6,0.01139204231336823
y17,0.010834785258210135
z12,0.01082666079280129
x17,0.010698761864047905
x2,0.010424132530579134
y5,0.010276076216502537
x19,0.00981885291811251
y1,0.009595785936363208
z4,0.00920429760454596
x12,0.008940992809876262
y9,0.008713795345698137
y6,0.008452880276322567
x18,0.008364706748111971
y13,0.008078209114762154
x20,0.007908817396036098
x9,0.00774135579158249
x14,0.007645696776706081
x16,0.007040936996297433
x5,0.006948007350283655
x10,0.006603444836785691
y0,0.006077344273591424
x11,0.005739966807348746
x15,0.004875538621123091
