Metric,Value
Representation,angles_xy
Training accuracy,1.0
Training error,0.0
Test accuracy,0.9157608695652174
Test error,0.0842391304347826
Cross-validation best accuracy,0.8878404243053153
Number of training observations,1471
Number of test observations,368
Number of predictors,15
Number of classes,36
Number of trees,500
Maximum tree depth,
Maximum features per split,sqrt
Minimum samples per leaf,1
