Metric,Value
Representation,hybrid
Training accuracy,1.0
Training error,0.0
Test accuracy,1.0
Test error,0.0
Cross-validation best accuracy,0.997788099545299
Number of training observations,4522
Number of test observations,1131
Number of predictors,267
Number of classes,29
Selected C,1
Solver,lbfgs
Maximum iterations,10000
