Metric,Value
Representation,hybrid
Training accuracy,1.0
Training error,0.0
Test accuracy,1.0
Test error,0.0
Cross-validation best accuracy,0.9984518163594582
Number of training observations,4522
Number of test observations,1131
Number of predictors,267
Number of classes,29
Number of trees,100
Maximum tree depth,
Maximum features per split,log2
Minimum samples per leaf,1
