feature,importance
norm_d4_20,0.013604909565194672
x9_scale,0.012083382520220707
norm_d4_19,0.010121736185100198
norm_d1_12,0.010061442365693077
norm_d4_17,0.01000525441128453
norm_d3_20,0.009710433641538806
norm_d5_17,0.009461239635983802
y11_scale,0.00935846436339744
norm_d4_12,0.008921163554091146
norm_d4_15,0.008721838969273995
x1_scale,0.008449438442966088
norm_d4_18,0.00822739371156042
norm_d3_16,0.008166166400697328
norm_d1_20,0.007842621536672189
y20_scale,0.007819723000843553
norm_d3_15,0.007813546377775078
norm_d4_16,0.007632108615656726
y4_scale,0.007616200220289877
x13_scale,0.007562484774658268
norm_d3_12,0.0075565449830170914
norm_d2_8,0.007529969786816935
y14_scale,0.007433687933740114
y1_scale,0.007282330604582944
norm_d11_15,0.007255432593252524
norm_d3_18,0.007249410693494849
y8_scale,0.007213223250360482
y18_scale,0.007083869233315605
norm_d0_14,0.007067720188406446
norm_d0_10,0.006990116664795799
y15_scale,0.006946993288677035
norm_d1_10,0.006826055337443482
x5_scale,0.006702343734838793
norm_d1_8,0.006596333629616745
norm_d8_16,0.006471239328343292
y17_scale,0.006334374354337124
norm_d2_15,0.006275928234254261
y12_scale,0.006254511330229022
norm_d12_15,0.006018284321902612
x20_scale,0.005862910461370377
norm_d3_13,0.005857067218929649
norm_d3_8,0.005772364247910729
norm_d3_7,0.005772337093108514
norm_d1_4,0.005758996244648959
norm_d2_12,0.005737965641211398
norm_d12_16,0.0056703370140664434
norm_d0_15,0.005650444527960672
norm_d11_16,0.005604141142949987
norm_d0_16,0.005572003225794077
norm_d7_11,0.005561299186899118
y0_scale,0.005510842132309876
norm_d4_13,0.005487561716459699
norm_d4_14,0.00548590312790976
norm_d8_11,0.005391029582009255
norm_d1_16,0.005355549213443955
y6_scale,0.005280894647446474
x4_scale,0.00526830432863848
norm_d7_12,0.005227185033384033
norm_d3_19,0.005225036811270584
norm_d4_10,0.005199376769875521
norm_d0_11,0.0051973940766515524
y16_scale,0.0051838520670336105
norm_d9_13,0.0051683014956217434
norm_d13_14,0.00515028931349936
norm_d1_15,0.005132871007133921
norm_d0_4,0.0051112557249138124
norm_d1_11,0.005101123045694288
y13_scale,0.00507291615697321
norm_d5_11,0.005055836329734437
y19_scale,0.005026548358394028
norm_d9_10,0.004983239719085854
norm_d15_19,0.004903653594334316
norm_d15_20,0.004887108100360287
norm_d5_7,0.0048857667620390574
norm_d0_20,0.004844882684968998
norm_d11_20,0.004804554875627082
norm_d7_8,0.004796403684284934
y5_scale,0.004782300118343278
norm_d5_10,0.0047817437638507316
norm_d8_12,0.00475056581084692
norm_d11_19,0.004735331361237191
norm_d0_12,0.004722113198367
norm_d2_14,0.004629442510999443
norm_d0_19,0.004611061446414074
norm_d0_17,0.004601636383183911
norm_d3_5,0.004579456135326267
norm_d0_9,0.004558222349644668
norm_d7_16,0.004549626368040504
norm_d0_13,0.004544760418794549
norm_d10_16,0.004536533674913872
y2_scale,0.004509592448354364
norm_d9_17,0.004473523275205184
theta_9_10_11,0.004438243633024939
norm_d11_12,0.004400967735403633
x2_scale,0.004279146124998371
norm_d2_7,0.004268552368780405
norm_d5_8,0.004257408714912016
norm_d6_11,0.004096217369225916
norm_d1_14,0.004085321583735411
norm_d6_10,0.004074804646642993
norm_d4_5,0.004052597942522705
norm_d8_15,0.0040367761567040175
x15_scale,0.003996977854482205
norm_d10_20,0.003942886726666786
norm_d3_14,0.003939272362145279
norm_d7_13,0.003913620959674862
norm_d4_9,0.003912395558417731
norm_d7_20,0.0039025423621852646
norm_d3_11,0.0038832935336130946
norm_d5_13,0.0038715561834022703
y10_scale,0.0038426217926286798
x3_scale,0.003824912430673945
norm_d9_12,0.0037904702122970625
norm_d2_11,0.003771786276094819
norm_d12_20,0.003741614140896618
norm_d6_7,0.0037351959956801084
norm_d0_8,0.003692277659664329
norm_d8_9,0.003650928621073966
norm_d0_3,0.0036334861411400996
norm_d17_20,0.003569030361782189
y9_scale,0.0035498636991184063
norm_d4_11,0.0035365320847285777
norm_d2_20,0.0035323027213489634
norm_d1_7,0.003530378291225883
x17_scale,0.0035083889347746378
norm_d2_16,0.0034575299866938195
norm_d13_15,0.003445936654204939
norm_d8_17,0.0034450588098128175
norm_d12_19,0.0034408720070305807
norm_d1_9,0.0034277889668228416
norm_d10_13,0.0034081876996466315
norm_d14_16,0.00338355244232955
norm_d15_16,0.003379724539969639
norm_d8_20,0.003370023974188037
x16_scale,0.00335007402964857
norm_d6_16,0.0033248124273579207
x7_scale,0.0033188992387210275
norm_d1_5,0.003306436029376293
norm_d14_17,0.003295249261166596
y7_scale,0.0032738109542204265
norm_d14_20,0.0032471722222810295
x11_scale,0.0032023804704626397
norm_d2_17,0.0031568589663205967
x14_scale,0.003144720789286481
norm_d11_18,0.0031366817869880994
norm_d9_16,0.0031304312918336154
norm_d4_7,0.0031286460601903897
x19_scale,0.00311969180210812
norm_d9_14,0.003097373212427118
norm_d11_17,0.0030936026572346885
norm_d16_20,0.0030283989229301193
norm_d7_15,0.0030261273953784812
norm_d7_19,0.002981995623107243
norm_d3_10,0.002977895694293563
norm_d12_13,0.002966732135034127
norm_d12_18,0.0029191521688646193
norm_d13_16,0.0029046981620013106
x6_scale,0.0028714126400785317
norm_d9_11,0.0028445984111306415
x12_scale,0.002840783541550383
x10_scale,0.002839291210028939
norm_d12_17,0.0028264574395283587
norm_d7_9,0.002817660494903763
norm_d3_9,0.0028144984776079275
norm_d1_3,0.0027793381213545142
y3_scale,0.0027564730169591205
norm_d10_14,0.0026935969264072893
norm_d8_14,0.0026415240219159588
norm_d9_18,0.002597562812719655
norm_d2_6,0.0025948975483089044
norm_d0_7,0.00256519061912378
norm_d7_10,0.0025640062784326014
norm_d14_18,0.0025071768946735794
x0_scale,0.002502241413480238
norm_d12_14,0.002469347017050615
norm_d1_6,0.002421976856292525
norm_d8_13,0.0024203317143156357
norm_d6_14,0.0024084639343277085
norm_d3_17,0.002407079567077335
norm_d0_5,0.0023955881522001697
norm_d16_17,0.0023882511158158704
norm_d5_12,0.0023815790292978367
theta_13_14_15,0.0023734493625285837
norm_d13_18,0.0023710962498886047
theta_0_5_6,0.002339468725293044
norm_d16_19,0.0023260667303051786
theta_0_13_14,0.002302295649040672
theta_1_2_3,0.0023016448197202134
norm_d4_6,0.002251645434222541
norm_d2_10,0.002248929181369205
norm_d1_13,0.002231124106886494
norm_d10_17,0.0022234161144870563
norm_d17_19,0.002221242290429447
norm_d10_15,0.0022036312524357855
norm_d9_15,0.0021860007661825102
norm_d2_18,0.0021801334525570273
theta_5_6_7,0.0021715467943092433
x8_scale,0.002157003089166612
norm_d2_19,0.0021372569311794197
norm_d5_9,0.0021328468707892067
norm_d0_1,0.0021309868261296687
norm_d5_14,0.0021065926317335505
norm_d14_19,0.0021059709624058082
norm_d13_17,0.0020761441293146
theta_18_19_20,0.002012068167239904
theta_2_3_4,0.002005716474871304
norm_d5_18,0.001995833352050744
norm_d4_8,0.0019782399530257396
norm_d6_8,0.001977266863193491
norm_d16_18,0.001961142377211624
norm_d6_18,0.0019514187297215773
theta_17_18_19,0.0019435495297523565
norm_d11_14,0.001921884624224052
norm_d10_19,0.0018767301543437212
norm_d3_6,0.0018403266943639476
norm_d0_2,0.001829794261128985
norm_d7_14,0.0018093493322569043
norm_d5_15,0.0017792163777963417
norm_d2_5,0.0017144397010187748
norm_d6_17,0.001682299439002747
norm_d1_19,0.0016802466862626648
norm_d7_18,0.0016007687006664717
norm_d1_17,0.0015616171966870403
norm_d13_20,0.0015491858920785868
norm_d3_4,0.0015379650589127463
norm_d9_20,0.0015324033209675122
norm_d14_15,0.0015241423190731523
norm_d6_19,0.0015056128629445625
norm_d10_18,0.0014919705936422168
norm_d8_10,0.0014807306084219315
norm_d7_17,0.0014791487742871774
x18_scale,0.0014519002223979075
norm_d6_20,0.0014385638542151525
norm_d8_19,0.0014307357664454273
norm_d13_19,0.0014157830691900225
norm_d18_20,0.001375096882536714
norm_d0_18,0.0013164554071234628
norm_d15_17,0.0012978564895213792
norm_d17_18,0.0012554613522281685
norm_d15_18,0.001229054010350242
theta_14_15_16,0.0012008608643537524
norm_d6_13,0.0011588899003686808
norm_d0_6,0.0011182158579495225
norm_d5_6,0.0010924118648115858
norm_d1_18,0.0010591481224739116
norm_d6_12,0.0010479791899675988
theta_10_11_12,0.0010092676386531919
norm_d18_19,0.0010067992673475897
theta_0_9_10,0.0008882923158563975
norm_d8_18,0.0008781625547233246
norm_d19_20,0.0008729076344431044
norm_d2_4,0.0008427810331969376
norm_d2_13,0.0007942024099055169
norm_d10_12,0.0007237111729822718
norm_d2_9,0.0007186730251360501
norm_d6_9,0.0006991134657528844
norm_d1_2,0.0006852994842569915
theta_6_7_8,0.0006750494108187039
norm_d11_13,0.0006570307884758343
norm_d9_19,0.00055239099928339
norm_d6_15,0.00048249237399758936
norm_d5_20,0.00041754795521699756
theta_0_1_2,0.0003711245285287223
norm_d5_16,0.0002847812995891918
norm_d5_19,0.0002549847646090341
theta_0_17_18,0.00022845671271884622
norm_d2_3,0.00020947002691723015
norm_d10_11,0.0001638996401628851
