feature,importance
y12,0.05068225940557125
y4,0.047368181315703695
y16,0.04278549216446077
x0,0.04263311542582084
x4,0.04135425821766698
y20,0.04046869387381818
y8,0.037929113547346884
y15,0.035472837192403704
y14,0.03380420541754719
x8,0.032912594628027994
y3,0.03267579581272857
y11,0.031740369005147345
y19,0.030850767922017033
x1,0.029730885822061646
x3,0.027085648298458845
x13,0.025037531453187246
y18,0.024194326702436347
x9,0.022895527647432377
x12,0.022536490625781176
y2,0.022301504976873533
x2,0.021978859204493436
x7,0.021846444095325695
x17,0.021210638271965378
y0,0.01902809581555341
y17,0.018518224068834282
x20,0.01819231768986421
y1,0.017805674586618955
y7,0.01724974065408075
y6,0.016234182654727352
y10,0.015256140568816759
x5,0.014424301490919783
x18,0.014387361630702013
y5,0.014373493593888044
x6,0.014126663711988943
y13,0.012441272821315765
x19,0.012427233501946829
x16,0.010834421162616376
x14,0.010066186108218548
y9,0.009632554656759326
x10,0.009541720372177511
x11,0.009317372220295625
x15,0.006647501664399574
