feature,importance
z20,0.03530863284791522
z16,0.03142429625136634
z5,0.031066284402878334
z1,0.030029439602250765
z9,0.028335400364245502
z4,0.02570641417082879
z2,0.02545819411885449
z10,0.025280398357416693
z14,0.023191876052540895
z3,0.023112948246264187
z13,0.022872891000914882
z19,0.02232983167760059
z17,0.021189236726470353
z11,0.02078292101911154
z15,0.02006903707154954
z6,0.01954014130974873
z18,0.019368217443060214
z8,0.019283264589057044
z12,0.0192037164609495
z7,0.019091724964407957
y12,0.017273819168595626
y8,0.01689413834605038
y4,0.01638797135188224
x4,0.016317542872812372
y20,0.01589023382090742
z0,0.015135234784427078
y16,0.01429920031620548
y3,0.012932590743123045
x3,0.01263937998101634
y11,0.012513510269473203
y19,0.012497177472893879
x20,0.012462678545461571
x19,0.012381742423310681
y7,0.012207086126432166
x7,0.012072190146456727
x0,0.012047659830483715
x8,0.011975717072458078
x1,0.01192207173396478
x18,0.011907786374080288
y15,0.011799713095636401
x12,0.011621630348993783
x6,0.011505775373912858
x16,0.011495742766023958
y0,0.011401678609024125
y18,0.011323889533175894
x17,0.01128839633041156
x2,0.011184776692160387
x15,0.011068391051882474
x11,0.011058744028193745
y1,0.010974198581583012
x5,0.01095903838207369
y2,0.01079391901071091
x14,0.010773037247622484
x10,0.010567357349212653
x13,0.010565125430966459
y17,0.010299310616411334
y6,0.010239018581969623
y14,0.010218566710137643
x9,0.010167748565801455
y10,0.010005806754939959
y13,0.009591454772049174
y5,0.00943787847603111
y9,0.009256203633608717
