feature,importance
norm_d8_12,0.014707882509749528
y20_scale,0.012750719579071123
y4_scale,0.01262157207041989
y14_scale,0.011545022693524002
y1_scale,0.01146237793937492
y8_scale,0.011447011753040194
y3_scale,0.010882598458975198
norm_d8_11,0.010592409852322397
y2_scale,0.010353113718015982
norm_d4_8,0.010307314723228147
norm_d8_16,0.009875706082864597
y10_scale,0.009551003502713231
theta_5_6_7,0.008967190099163485
y19_scale,0.008955893781460585
norm_d4_14,0.008818400740778044
theta_17_18_19,0.008560753866401382
norm_d7_11,0.00843040966989141
y18_scale,0.008217960328257298
norm_d4_13,0.008160836187612461
y15_scale,0.008093158067422385
norm_d3_8,0.008084716941049714
y16_scale,0.007928097749388605
norm_d16_20,0.0076356988518796205
norm_d12_16,0.007568245819644307
y7_scale,0.007430877032373211
y11_scale,0.007368244468990223
norm_d4_10,0.007365269147397268
norm_d15_20,0.007320624448227991
norm_d17_19,0.007305686282575122
y17_scale,0.0072255538881684095
norm_d4_15,0.0070949232114762605
norm_d16_19,0.007066617409612565
norm_d0_20,0.007029739904013035
norm_d4_11,0.00700485197286573
norm_d17_20,0.006841560792643851
y6_scale,0.006752180803304567
norm_d4_16,0.006724639023071723
norm_d4_9,0.006489759723593442
norm_d2_8,0.006393961477461354
norm_d12_15,0.006388293939261486
norm_d12_20,0.0062884849078212925
norm_d4_17,0.006262063019347049
norm_d11_16,0.006135316813768183
norm_d0_12,0.006029892101164622
y12_scale,0.006015818639158246
norm_d15_19,0.005988562281278572
norm_d2_20,0.0059651943007597436
norm_d2_7,0.005907281012399577
norm_d7_10,0.00589868380929345
norm_d1_5,0.005788603919265012
y9_scale,0.005778693339494716
norm_d7_15,0.00574815778156573
y13_scale,0.005705360652320018
norm_d14_15,0.005692657409537006
norm_d4_7,0.005672009844043515
norm_d2_12,0.005603266199919297
norm_d9_11,0.005533809892611273
norm_d3_7,0.0055025740318009626
norm_d2_5,0.005398463288238319
norm_d4_19,0.005315569264080329
norm_d11_15,0.0053002668409056425
theta_1_2_3,0.005256242322366511
norm_d0_8,0.0052528683881739235
norm_d13_19,0.005224885222951549
norm_d8_20,0.005221606789341929
norm_d7_12,0.005108942071351137
norm_d1_17,0.00504143484768359
norm_d4_12,0.005037368202972013
norm_d8_15,0.004938896778020785
norm_d1_19,0.004937426292716972
norm_d3_13,0.004919013751134727
norm_d1_8,0.004918868411588226
norm_d4_6,0.00486483506143946
norm_d5_11,0.004834847940194952
theta_9_10_11,0.004811756950105365
norm_d1_12,0.004716630527074601
norm_d2_19,0.004714558577760234
norm_d4_20,0.004658186277349933
norm_d13_14,0.0046252845468169575
norm_d1_20,0.0045813078091773984
theta_13_14_15,0.004572927369390804
norm_d0_19,0.004511556109431586
norm_d11_13,0.004502551897391569
norm_d4_18,0.004289486424537538
norm_d12_19,0.004179251138349049
norm_d8_13,0.004108350639719497
norm_d14_16,0.0040110639527368725
norm_d0_16,0.003963115414258934
norm_d0_7,0.003940871045918578
norm_d5_10,0.003932434970517366
norm_d0_13,0.0038887099145023833
norm_d3_10,0.003888328788927892
norm_d3_16,0.003877806820871131
norm_d3_6,0.0038285044833274787
norm_d9_12,0.0037820625366981344
norm_d3_12,0.0037308533410706423
norm_d8_9,0.0036676785619828593
norm_d17_18,0.003645756530719437
norm_d6_10,0.0036421828267204966
norm_d11_20,0.0036283775411118605
norm_d3_9,0.0036272268427757536
norm_d12_17,0.0034987350108381106
norm_d5_13,0.0034957234221356034
norm_d5_7,0.0034918475942746965
norm_d6_11,0.0034860790322179076
norm_d4_5,0.003432370035819803
norm_d18_19,0.003388870445127646
norm_d3_20,0.003385288779724774
norm_d5_9,0.003384551654352757
norm_d13_15,0.003384409745986782
norm_d2_15,0.0033806513778295386
theta_6_7_8,0.003368599891891774
norm_d3_11,0.0033661615563577206
norm_d3_18,0.0033658192901479694
norm_d1_16,0.003356185897358515
norm_d16_17,0.003340129354694981
norm_d9_15,0.0032998031285040924
norm_d7_20,0.003281232131840506
norm_d2_17,0.0032669109846243305
norm_d0_17,0.0032460993777582822
norm_d9_14,0.0032286728711064592
norm_d1_11,0.0032223235505848126
norm_d1_9,0.0032208991737195133
norm_d1_13,0.003184695524249301
norm_d7_14,0.0031550034033814996
norm_d2_11,0.0031421955701151087
norm_d0_15,0.0031346432321788073
