Metric,Value
Training accuracy,1.0
Training error,0.0
Test accuracy,0.997250229147571
Test error,0.002749770852429001
Cross-validation best accuracy,0.9974791660098573
Number of training observations,4363
Number of test observations,1091
Number of predictors,42
Number of classes,29
Number of trees,300
Maximum tree depth,
Maximum features per split,sqrt
Minimum samples per leaf,1
