,x0,y0,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,x15,y15,x16,y16,x17,y17,x18,y18,x19,y19,x20,y20
A,-0.5738583405571387,1.4732853084265078,-0.8868591242317144,1.3121296944532281,-0.25205573669724374,0.7804281911121922,1.7120248573607806,-0.9650513696728816,2.1311369773736577,-3.118406198881153,-1.5337652399854016,-0.48644708175641255,-0.560091244039437,-0.201283341380247,-0.3363884853233571,0.9646065999132422,-0.4706545872506974,1.4920999019062697,-0.8004659406752033,-1.2169951879298782,0.6773110451940896,-0.4399562615269242,0.09461592825409375,0.4360750363017919,-0.8502675034105555,1.425535471937596,-0.27113522546702984,-1.4501174789981066,0.9173934872732066,-0.20703937500950706,0.4103324096779068,0.505266849740734,-0.31809291827318603,1.4841571931351012,-0.058938114563645866,-1.4218334789927471,0.6512775436023017,-1.1928511304318286,0.48646996185002017,-0.13424544556704116,0.22640492639566248,1.0698726771410418
B,-0.03576915004658879,0.3746407946561187,0.20724967896771337,0.2800533393501452,0.2450423452176413,-0.12266750327856307,-0.0237679802903302,-0.16321529751743735,-0.2816465783100077,0.4520443879729678,0.15654867144262108,0.15828001321281898,0.0879325484915332,0.09747641877453984,0.0038810259170066596,-1.058411148787442,-0.07139865802420611,-1.3733418305102585,-0.050430978743237105,0.31393716222462753,0.14036161024422025,0.3749498239931743,0.15929990789281234,-0.5208087966516891,0.03936231572005027,-0.8898727547420471,-0.08360832131789969,0.4171488725475006,0.25999961255438847,0.15151517844507847,0.3124515880516383,-0.9348472684955921,0.20341429578803874,-1.5433554645587602,-0.13252350984834316,0.43293832514882313,0.2145304318486663,-0.013945928241022771,0.3270541079308339,-1.1759215879569616,0.3820292935292401,-1.998029131179706
C,-0.4652504970943839,-0.28278629456043597,-0.3910450456041275,0.2464788327732295,-0.14958810432969363,0.7449517814495064,0.1424854234996557,0.9102440730297393,0.4032106969266395,0.694835906895478,-0.7085151967120014,0.28754619754060634,-0.4302328299781385,0.028121294461696242,0.10789546260290468,-0.21848671175886675,0.32767165817178484,-0.03024411439051662,-0.654738052703336,0.0834215068480721,-0.4308967354986902,-0.3274917357915237,0.3460738982396545,-0.4547189810161712,0.6515723814289741,-0.1639755166102717,-0.3734507921484501,-0.16784965274101424,-0.1940262196735711,-0.3264869124860787,0.2675531289031076,-0.45891684083904094,0.553744540857316,-0.2780780764586488,-0.13061429998629914,-0.3856417702986272,0.061477473391605954,-0.4478120594013235,0.2890792638894526,-0.5363375701491089,0.45505710543302796,-0.42168549737215943
D,0.2062068495588008,0.7486529301799876,0.6505650317547743,0.5611309312424911,0.9648727713284159,0.17323803668634316,-0.014516304702954272,0.1280990182321183,-0.9432888070028566,0.19646075173994976,0.23892972728535058,0.375082586595366,0.6024944809186881,0.05845830123261219,0.6885032791668401,-1.4097476892040113,0.6328944449415778,-1.7545155949410993,-0.057019669987107564,0.3234118687748175,-0.21576761889710333,0.02910899475594704,-0.45788111649628666,0.8668668356806553,-0.35351482410579804,1.313289896332668,-0.15210484416178777,0.22055049954174177,-0.07273949625731507,-0.4202611425285766,-0.40086081710891497,-0.3933478360372957,-0.5294508676408411,0.03920261397289086,-0.0733544668717981,0.3571910813201595,-0.18121028372720915,-0.15507195820026942,-0.31827390378070847,-0.3187545701135079,-0.3621233499634427,-0.044629214496849916
E,0.6360427519090331,2.0906183785145602,1.2476861321893558,1.3248075545846678,0.8410727783570393,-0.022552919123828296,-0.6250923115529481,0.7435372474256048,-1.059350861343883,2.7094920707702976,0.2085526108835299,0.14945337989135593,0.5516374962375531,-1.4133086271341768,0.3457972423365799,-0.1101160870372799,0.11224891495509481,0.824710798672062,-0.10255810959759643,-0.24337060754303544,0.20617362670512887,-2.4039512388062922,-0.13420558387950834,-0.9776673577021006,-0.22721939942364583,0.342408282387555,-0.271116137130277,-0.16885509921534475,-0.11326573717764864,-2.1192443334238793,-0.22214603708204245,-1.3517091047065923,-0.31577954822828563,0.08472875964045079,-0.1888093553822012,0.44985452761642636,-0.15271159851106014,-0.9373860659545343,-0.10978157110255402,-0.7762831260882603,0.004551449056208806,0.22356783929441248
F,0.1684990889117492,0.34426923507702256,-0.149592981199371,0.23732634526403346,-0.3934867889662602,0.4211062692637036,-0.14369688880365414,0.5358924489776187,0.20907641917426367,0.08578354120564119,-0.37707064359782794,0.21303758856611274,-0.05180588111742577,0.9099607427274442,-0.011137285051965099,1.3322990612134222,0.010586438240482438,1.3741272066136572,-0.0600152010207048,-0.013756427279199313,0.15937770775813112,-0.03138300602979855,0.2643535215165852,-0.8457088941595791,0.280746063729864,-0.9988079208632064,0.1121621108295586,-0.0010978099314391018,0.3336463791393276,-0.24441570226826906,0.40543372331050825,-1.0580851895005894,0.4838272150785026,-1.399908771211998,0.16472532408131343,0.2638563594486344,-0.009591013002596196,0.20918466192397348,-0.18245600138379212,-0.40776895952770087,-0.27102775262629064,-0.8334170406622873
G,0.5003116185102463,-0.17278211863992596,0.12756601511707114,0.6532123922750662,-0.4516023159846257,0.3098172849810619,-0.5740513964834351,-0.488462638013348,-0.42602146015036374,-0.7812573955992347,0.4459524800090513,0.7972858104310059,-0.5901365415281369,0.8749240275342732,-0.814583474145896,-0.6621726808332825,-0.9586575999308213,-1.3746861499962866,0.6284002098234823,-0.4331253256668617,-0.0007044963686423686,0.6757501206911973,0.4384386459069678,0.423035976367798,0.7871334094889713,0.12019180069995622,0.5319039786406599,-1.2174397851453316,0.1529379561433562,0.04807650451559909,0.005198974051108054,0.05794808316710417,0.22173962361982527,-0.036873367985188935,0.5179860699235986,-1.5373561388191406,0.13210655041025463,-0.6625975558000132,-0.15294042405473784,-0.11103790280769386,-0.17408825619374974,0.20707589390058614
H,0.4433411880279497,-0.4083086413728642,0.6743474382781709,-0.9620791859821219,0.5064362187900805,-0.8059668028426837,0.35987640457556597,0.0413371960864738,0.5645948218400213,0.6130155633350307,-0.14318577040905284,-0.0815771617116977,-0.10109307136295208,0.23554311902304448,-0.06944547749954476,0.17810712076664542,-0.08384697375088361,0.025093909217883827,-0.05229911363508647,0.360623076208492,-0.5144837762564167,-0.28789798661352284,-1.051326242302806,-0.823240894411376,-1.3371140007991176,-0.9124973624383784,0.14557662381065134,0.667155417213384,-0.15587937189911472,0.5241224285909998,0.40167217539212613,0.12086948256720731,0.5563984131018466,-0.19406097039285908,0.3559780968029924,0.9277436715824839,0.2233615801755059,0.8022248943948898,0.4500908557551725,0.3286710137165536,0.5241761618389889,-0.027430589533629195
I,0.0908997501483743,0.24345453116742416,0.21775537113146262,0.21688823473594454,-0.17832310907668653,0.18014145248719074,-0.5643604546214291,0.14082372730070386,-0.6858000447179813,0.0012679040504462132,0.9045016273334028,0.6558802375882709,0.5803469291312141,0.5889052894972805,0.3302715547152467,0.6324552909629655,0.3216761617488811,0.445050835098062,0.5350034975867138,0.5389560488859726,0.4478960886559196,0.47436786262211167,0.14228004633818528,0.42011447873796487,0.1676167464291589,0.4321206119846406,0.09998344680487772,0.18589078198293005,0.10437898953421203,0.016622422183681488,-0.03060575892170911,-0.22457168347892234,0.04666172589833651,-0.02636360239089996,-0.09773381868326415,-0.19546558008547546,0.03866251757326459,-0.692892004149447,-0.3223402170525112,-2.0102628619387386,-0.5458734319041773,-2.638585365750881
J,-0.9337334419059202,-0.04759444885355218,-1.1793969876728152,-0.36674597959200717,-0.7817786643712662,-0.4877707556833061,0.33715502596061203,0.015476824989228049,1.1942105241221481,0.7425854632509501,-0.8060059075378977,-0.41327128693216825,0.07625350897100493,-0.49051543698847677,-0.08340716811553321,-0.011735855319960633,-0.21077867078938697,0.1460580820375636,-0.4188518438444461,-0.010376066885009118,0.578068505108845,-0.0013653861003340405,0.13306798328215075,0.21931312927876856,-0.28265567749718384,0.18970829263266734,-0.14636419840078133,0.3337430263740741,0.5492093028059487,0.27004857879176625,0.18939390702099523,0.19772863963784867,-0.23740037010765203,0.22340815270974143,-0.020818483711037,0.5375434937234634,0.2552358157737335,0.4948724646541313,0.4650085678900918,0.044037854308259766,0.6504105758367807,-0.2488153600262903
