feature,importance
y12,0.04037224262072599
y16,0.03726663710380175
y20,0.03594034462285568
x20,0.03561110221012784
x4,0.03453277663892663
y11,0.034139607332777246
y15,0.032872103506030634
y8,0.03193997179159692
x8,0.029780017008634842
y7,0.029583263735262797
y4,0.02953492018813414
x12,0.029136604191396832
x7,0.02840363388830876
x11,0.026369153270059023
x19,0.026262531758411246
y19,0.02547202160355517
x6,0.02481498282490196
x16,0.021797910660509782
x18,0.020724956526973166
x15,0.01817481554004581
x0,0.018121474059866312
y3,0.01804633128043303
x5,0.017820290422054894
x10,0.01712063246955102
x3,0.016555683344723075
x9,0.015152787492738537
y14,0.015031360568939047
y17,0.014637593064909159
y6,0.014094241070327829
y18,0.013857262348517392
x14,0.0136256537624425
z0,0.013538469437454242
y10,0.013425493471274611
x2,0.013394992075787048
x17,0.013088405698663564
x13,0.012738067145671054
y5,0.012661464893545308
y2,0.011664961720769518
x1,0.011626495191416905
y13,0.010826180107428973
y9,0.010058215473005637
y0,0.009314758488737838
y1,0.007611287812810677
z17,0.00598806576549191
z16,0.005823430152452422
z1,0.0057159912074429865
z20,0.005668772580512439
z4,0.005501838716359636
z5,0.005221891907122801
z3,0.005213760472648307
z18,0.0046987063064672105
z19,0.0046430608820932
z9,0.004595424039763804
z13,0.004568615114674162
z2,0.004525285040592737
z15,0.004419011429749829
z6,0.00423630147289119
z14,0.004175344194573756
z8,0.00411545889941248
z7,0.003715452146552423
z11,0.0036874994533387757
z10,0.0034492892424058583
z12,0.0032951025513497305
