,theta_0_1_2,theta_1_2_3,theta_2_3_4,theta_0_5_6,theta_5_6_7,theta_6_7_8,theta_0_9_10,theta_9_10_11,theta_10_11_12,theta_0_13_14,theta_13_14_15,theta_14_15_16,theta_0_17_18,theta_17_18_19,theta_18_19_20
0,-2.6543205726206662,2.5079961667713264,4.269517221326256,-4.476499070063955,-10.091488467619145,10.511142060318377,1.6127515662916656,5.887163572197758,-6.333762365364241,1.6771843195813325,3.4443913517200064,-4.744945700494351,2.0557140719343585,-0.4985303903122272,1.5913120263899432
1,-5.52522357173232,5.456114016376219,-0.013950378125191253,-0.6919040154154644,3.435062210960864,5.320328704979888,-1.7047182511903989,1.769507541081409,7.342021964197858,4.117096538171591,4.287943338424804,7.660542256269568,1.6246831609309669,2.907353071071866,8.847985823061373
10,-1.5529092781543907,5.09783769432453,6.655974118082768,14.805586049775766,2.0147832346770382,-0.3565518425044585,2.3577443611305875,8.123033803545678,2.9005147999798506,-1.3037040959062585,-4.087085821288901,0.8636717128415133,-0.3896067763113379,-5.191795911524982,2.728317849420433
11,-2.472770342773518,1.566077403101574,-1.2091916002591772,3.6507781376539765,3.2851141437362075,1.8117001811165896,-3.540291118656057,-3.467214197260847,2.1845835576406163,-7.6528559852537015,-2.261776937280463,0.4989923920078019,-6.570588158886047,-2.4263125882020735,1.376575056184508
12,-2.2049168037777567,-6.159136333184054,1.465278778264543,8.48334547433384,-2.3251548208012296,-0.4261013208703823,-8.034887615568554,-6.070106301052696,4.60637778210557,12.991433428154227,0.5121102990335802,-6.473510676815699,-0.8829554664520869,3.7714094245544336,1.6770838914861341
13,0.08107367525801158,-7.588565827667305,2.039152877671761,5.590067097757686,-10.144106234194012,0.5971605870459387,8.87225409790236,-9.428283450496004,-5.722768010428742,-11.328221447056315,2.666620235642402,7.13645474581883,-3.5950135050631564,0.4046789212420775,0.18161405971054834
14,-0.18469857016835825,15.515640446799488,-0.6427855097449572,-4.1133707643124,-0.7957850915541657,-7.21571311291273,-1.2634091638680491,-1.635283538588969,-0.712490003003349,-4.788207472412189,2.998556461555623,-4.418448487816005,-2.4949287521734447,1.542426346098721,1.9600235354769757
15,1.2782611115958262,-1.882672608625019,5.471761132228312,-4.647349707686477,3.6006167933589985,1.682996540530908,-6.8536931657306095,4.030716879373807,1.6035449176533052,0.40654855319356,-0.9258446638422899,-3.2733033466393517,-1.6919147470137519,-6.94083291114186,-2.2443582752973343
16,-3.024533112599098,5.9962586171725745,6.71591580045405,-7.309507724986078,8.261890003841879,15.991330690803492,-3.9243858227547666,5.939146701584452,-3.712903137019667,-6.571984487754621,2.353720871030064,0.07669002978003908,-0.7078947359369593,-0.45103089961890996,-5.4530364831656675
17,-5.137321600695462,2.1743727065906655,3.8725216285049013,-3.8268060549264127,-1.2912894966165651,-2.2887599184812744,10.929877162080503,7.390342040117414,-3.381029547060714,4.143848205542419,-2.9067884706980887,2.7230599998065674,1.5003647749141011,-1.202791666127692,8.081344550885566
18,2.705925281890473,-6.404255674809886,-5.564224633142301,0.0027324833220168355,-1.356266528666741,1.2429755603934913,-1.6625709546524736,-9.549517897548935,-1.8158827781398756,7.1556432684087525,-7.53836894624219,-3.019304473989025,4.889447757700231,-1.4664501440698177,-1.2644784255182395
19,-3.1832290699229104,4.5553192990605345,6.170009783542764,9.534182899362664,-8.908522703860074,-5.516838142952748,3.758641608734729,-3.5716786534488807,12.162999038150403,-4.622249965416192,4.046478606019365,9.032949102924,-7.372528266357387,-2.73957290637393,5.669188996309504
2,-2.088318134265071,-2.079663081784056,2.4660424262932943,0.9433932360526993,6.613381943472467,-4.902049117347411,2.207143250737115,-0.8816731352848264,-2.0012708745558263,6.727883228661969,-0.9002999444024584,-3.306331966046776,-1.3366278625313794,3.5531843327619184,-0.16118939186028414
20,-1.815626483698532,-4.554026309873528,-6.9396155566771025,-5.504792634334894,2.2048128740425557,-1.5143563014758448,11.60953306191328,2.5607986072016784,1.4724910435213405,-12.810920916834121,-3.1441791862624062,3.0594091322105323,1.1547071209533444,0.10453610218406117,1.6019507773252284
21,-0.29956268600484354,-6.856827464191562,2.8372073802635,4.462530172821763,-0.24443363827365103,-4.868795115079579,-6.431840292526221,2.2880276918571787,4.2186320022580945,4.900933441079596,0.9060197758167042,-4.631001138640821,1.7330059646100362,-2.504281768290035,5.11700329385268
22,2.394081618044572,-13.199904431323905,-0.8503447786452158,6.55745258972722,0.2685119502462924,-1.7007583379111404,6.762185208683141,8.562212186617982,3.9221991504350493,5.545379102979378,4.988442965598736,4.580222521704091,11.587464096799826,4.586956862702762,-2.096407063212818
23,2.260959824871515,-11.607989281917584,-11.884893515447791,6.768704079801336,2.243802195406382,2.3592071837787483,3.4461368973544655,-4.096544704762171,5.069169206245606,4.17328289819812,-5.004889820659729,0.8449577676850454,8.36551534682954,-2.6486127744093726,-1.5799972604229624
24,7.52381275880423,16.405008602463717,4.767500782832629,7.149342145721858,-6.399142824343695,8.42162973362415,-1.9653762713892182,-2.861811631800075,-5.880777933160925,-0.13328315194321913,-2.679826016532517,6.778993654551246,7.825176896745426,5.506959551448638,2.413443270513373
25,0.5099906048719343,-5.752181051033002,-6.7711164289702905,3.127623745191537,4.249279941872922,3.1152658672774747,4.222554813221168,-4.833446009429064,-0.6428133124961037,-0.8299277171382421,-0.003597715800464036,-3.5333635883440313,-0.8312136331772201,-4.101206024031077,-4.179909228071611
