Metric,Value
Representation,angles_xy
Training accuracy,0.9986731534719151
Training error,0.0013268465280849018
Test accuracy,0.9885057471264368
Test error,0.011494252873563204
Cross-validation best accuracy,0.9856246027477631
Number of training observations,4522
Number of test observations,1131
Number of predictors,15
Number of classes,29
Selected C,100
Solver,lbfgs
Maximum iterations,10000
