Metric,Value
Representation,scaled_xy
Training accuracy,1.0
Training error,0.0
Test accuracy,1.0
Test error,0.0
Cross-validation best accuracy,0.998009094020437
Number of training observations,4522
Number of test observations,1131
Number of predictors,42
Number of classes,29
Number of trees,300
Maximum tree depth,
Maximum features per split,log2
Minimum samples per leaf,1
