mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_max_features,param_min_samples_leaf,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
2.164348602294922,0.1482107253257701,4.2303242683410645,4.393570298193754,,sqrt,1,100,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 100}",0.8601941747572815,0.8621359223300971,0.8601941747572815,0.858252427184466,0.8524271844660194,0.8586407766990292,0.003340708841569954,9
15.293413829803466,0.4719880391364602,4.603011846542358,0.24116825756065385,,sqrt,1,300,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 300}",0.8621359223300971,0.8524271844660194,0.8679611650485437,0.8621359223300971,0.8466019417475729,0.858252427184466,0.007669288410924842,10
19.485333919525146,0.257872987991952,2.0400858402252195,0.12612904790872156,,sqrt,1,500,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 500}",0.8660194174757282,0.8563106796116505,0.8640776699029126,0.8640776699029126,0.8524271844660194,0.8605825242718446,0.005267829113106999,4
11.107861423492432,3.126019959454586,4.232104873657226,2.3614504499258264,,sqrt,2,100,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'n_estimators': 100}",0.8563106796116505,0.8504854368932039,0.8640776699029126,0.8621359223300971,0.8446601941747572,0.8555339805825243,0.007223718538927481,18
10.338478136062623,1.5637260260638217,6.332762908935547,0.701600698197618,,sqrt,2,300,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'n_estimators': 300}",0.8563106796116505,0.8563106796116505,0.8640776699029126,0.8621359223300971,0.8504854368932039,0.8578640776699029,0.004819290736307105,11
18.242893600463866,0.1631404045335316,2.7696438312530516,0.480064884527474,,sqrt,2,500,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'n_estimators': 500}",0.858252427184466,0.8504854368932039,0.8601941747572815,0.8543689320388349,0.8504854368932039,0.854757281553398,0.003960403505703137,22
8.823901081085205,0.15035368852897324,5.537491369247436,0.25866184560614897,,sqrt,4,100,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'n_estimators': 100}",0.8524271844660194,0.8543689320388349,0.8524271844660194,0.8563106796116505,0.8388349514563107,0.850873786407767,0.006189272796314252,44
12.092070245742798,1.580612734227034,5.326029491424561,1.4234054499201154,,sqrt,4,300,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'n_estimators': 300}",0.858252427184466,0.8504854368932039,0.858252427184466,0.8543689320388349,0.8446601941747572,0.8532038834951455,0.00515203850928996,31
16.027905893325805,0.44977874224260583,2.2269801616668703,0.21238676300699053,,sqrt,4,500,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'n_estimators': 500}",0.8563106796116505,0.8524271844660194,0.8601941747572815,0.8524271844660194,0.8446601941747572,0.8532038834951455,0.00515203850928996,31
7.582523584365845,1.5440294150918146,4.508750009536743,0.9602209200793309,,log2,1,100,"{'max_depth': None, 'max_features': 'log2', 'min_samples_leaf': 1, 'n_estimators': 100}",0.858252427184466,0.8524271844660194,0.8660194174757282,0.8504854368932039,0.8504854368932039,0.8555339805825243,0.005965938444946509,18
