feature,importance
y12_scale,0.04098984761310266
x4_scale,0.04094355408216198
y16_scale,0.038212368039341325
x8_scale,0.03701853365053878
y4_scale,0.03555277519316993
y11_scale,0.03427081312736638
x7_scale,0.03426813737411803
x12_scale,0.03237858155350897
x20_scale,0.032269441816584234
y15_scale,0.03218435356763571
x11_scale,0.031422208740116454
y20_scale,0.030644776480664816
y8_scale,0.029204741010438354
x3_scale,0.025693134799647865
x6_scale,0.0255736858620931
y19_scale,0.02531713946517866
y17_scale,0.024887094509749602
x16_scale,0.023988872720699574
y7_scale,0.0239794585667114
x5_scale,0.022692993622435702
y5_scale,0.021811195109710423
x9_scale,0.021751510846116845
x10_scale,0.021639056613635695
x15_scale,0.021261778760805594
x17_scale,0.020282199994219607
x13_scale,0.019803221265614266
x18_scale,0.01956882857496544
y3_scale,0.019560747740219098
x19_scale,0.01905270773289503
y18_scale,0.018813302531697707
y13_scale,0.017561690749816075
x2_scale,0.017445317969437577
y9_scale,0.017191570416607054
y14_scale,0.01709554562507589
x0_scale,0.016724465841646698
y6_scale,0.016230415830652944
x14_scale,0.015992428974000935
x1_scale,0.015247340568564107
y10_scale,0.01458877224809618
y2_scale,0.014058349301688073
y1_scale,0.008922423437038272
y0_scale,0.003904618072233048
