mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_max_features,param_min_samples_leaf,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.5284721851348877,0.011538256609135763,0.6829415798187256,0.6038660243969354,,sqrt,1,100,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 100}",0.9288135593220339,0.9183673469387755,0.9523809523809523,0.9319727891156463,0.935374149659864,0.9333817594834544,0.011074521963907633,9
2.0221878051757813,0.22731968580115394,1.9751545906066894,0.4227641991887335,,sqrt,1,300,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 300}",0.9288135593220339,0.9217687074829932,0.9489795918367347,0.9387755102040817,0.9319727891156463,0.934062031592298,0.009249731858000348,7
4.370977115631104,0.17561834860319706,0.7752206325531006,0.10658966203687317,,sqrt,1,500,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 500}",0.9288135593220339,0.9285714285714286,0.9489795918367347,0.9387755102040817,0.9387755102040817,0.9367831200276722,0.007584707459523556,1
1.7703529357910157,0.45980473061816163,1.3932369232177735,0.4209022531484161,,sqrt,2,100,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'n_estimators': 100}",0.9186440677966101,0.9013605442176871,0.9455782312925171,0.9421768707482994,0.9387755102040817,0.929307044851839,0.016821068576604273,23
2.6349846363067626,0.2509293079641036,0.9967493534088134,0.5960760750705589,,sqrt,2,300,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'n_estimators': 300}",0.9220338983050848,0.9217687074829932,0.9387755102040817,0.9455782312925171,0.9319727891156463,0.9320258272800647,0.009319611990967279,11
3.9191683292388917,0.6549078811942891,1.2706569194793702,0.4276275044780254,,sqrt,2,500,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'n_estimators': 500}",0.9220338983050848,0.9251700680272109,0.9421768707482994,0.9421768707482994,0.9285714285714286,0.9320258272800647,0.008542368723022206,11
1.0804545402526855,0.16099602915112188,0.9449012279510498,0.29102098086237904,,sqrt,4,100,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'n_estimators': 100}",0.911864406779661,0.8979591836734694,0.9251700680272109,0.9319727891156463,0.9217687074829932,0.9177470310157961,0.011830568236072904,49
3.6801856994628905,0.17717702215743084,1.0109020709991454,0.34701876948173355,,sqrt,4,300,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'n_estimators': 300}",0.911864406779661,0.9047619047619048,0.9319727891156463,0.9319727891156463,0.9217687074829932,0.9204681194511704,0.010836193326119094,40
4.247336101531983,0.6474234510416561,0.9198694705963135,0.03431811796038378,,sqrt,4,500,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'n_estimators': 500}",0.911864406779661,0.9047619047619048,0.9285714285714286,0.9285714285714286,0.9183673469387755,0.9184273031246397,0.009334076041599164,44
1.658637523651123,0.061993589350446784,0.7092978954315186,0.20904711163651307,,log2,1,100,"{'max_depth': None, 'max_features': 'log2', 'min_samples_leaf': 1, 'n_estimators': 100}",0.9220338983050848,0.9251700680272109,0.9387755102040817,0.9319727891156463,0.9421768707482994,0.9320258272800646,0.007686934313362838,15
2.6673471450805666,0.4185568918776081,0.649092149734497,0.4337106668730404,,log2,1,300,"{'max_depth': None, 'max_features': 'log2', 'min_samples_leaf': 1, 'n_estimators': 300}",0.9254237288135593,0.9285714285714286,0.9455782312925171,0.9421768707482994,0.935374149659864,0.9354248818171336,0.007689932595798274,3
3.933888149261475,0.8262102614598247,1.4828684329986572,0.11555182250284056,,log2,1,500,"{'max_depth': None, 'max_features': 'log2', 'min_samples_leaf': 1, 'n_estimators': 500}",0.9254237288135593,0.9217687074829932,0.9421768707482994,0.9455782312925171,0.9387755102040817,0.93474460970829,0.009424509311558488,5
