class,feature,coefficient,abs_coefficient
20,norm_d14_18,-0.5709124238692279,0.5709124238692279
17,norm_d6_10,-0.5637918067430681,0.5637918067430681
21,norm_d6_10,0.5331277037389007,0.5331277037389007
18,norm_d4_14,-0.507391327502624,0.507391327502624
25,norm_d4_5,-0.4977156011336151,0.4977156011336151
17,norm_d7_10,-0.496587072493492,0.496587072493492
17,norm_d4_6,-0.49151915418041053,0.49151915418041053
24,norm_d4_20,0.47728896405099497,0.47728896405099497
8,norm_d11_12,-0.4748714610282964,0.4748714610282964
25,norm_d4_11,-0.47129229034402487,0.47129229034402487
24,norm_d3_4,-0.4696366409828355,0.4696366409828355
0,norm_d10_11,0.46733003277605156,0.46733003277605156
18,norm_d15_16,-0.46531763694585304,0.46531763694585304
18,norm_d19_20,-0.46109532346559573,0.46109532346559573
18,norm_d11_12,-0.45268683318093766,0.45268683318093766
21,norm_d6_11,0.4448640594805422,0.4448640594805422
8,norm_d3_4,0.4439030790468217,0.4439030790468217
20,norm_d8_11,-0.43809827464571394,0.43809827464571394
12,norm_d14_18,0.4371122570618598,0.4371122570618598
21,norm_d4_12,0.4362939771655197,0.4362939771655197
8,norm_d15_18,0.43501621640692434,0.43501621640692434
21,norm_d4_11,0.4328976569786573,0.4328976569786573
17,norm_d3_4,0.4322656879068392,0.4322656879068392
24,norm_d3_20,0.43174116724385914,0.43174116724385914
0,norm_d6_7,0.4309730725665316,0.4309730725665316
