feature,importance
norm_d7_11,0.013607299982047304
x20_scale,0.011602058013470737
y17_scale,0.011159358949803284
norm_d4_8,0.010599656871808562
x7_scale,0.010496224812960999
norm_d4_12,0.010190600504290643
norm_d8_12,0.009894976991198057
norm_d4_10,0.00943501615895705
x8_scale,0.009204459541330937
theta_9_10_11,0.009027539269954308
norm_d4_13,0.008920058705086208
norm_d12_16,0.008885581673010283
y13_scale,0.008736572809051218
norm_d6_10,0.008176294206735529
y18_scale,0.008085337716084317
norm_d0_8,0.007873509943846321
y12_scale,0.007753637894530711
x4_scale,0.0076485083944367715
norm_d0_16,0.007549102827645122
norm_d12_15,0.007480697079545818
norm_d1_16,0.007444038110358262
norm_d2_12,0.0074144724965911945
norm_d4_20,0.0074124469554738845
norm_d13_16,0.007288546100136175
norm_d15_20,0.007106492143370884
norm_d4_15,0.007039192048766154
norm_d4_19,0.007021399097244957
norm_d16_20,0.006880492494363875
norm_d7_10,0.006874962438036335
norm_d4_6,0.006863727740021102
y5_scale,0.006819565829566229
y16_scale,0.006789639858373248
norm_d4_16,0.006735424849240685
norm_d0_12,0.0066869617349025745
norm_d8_11,0.006411126049397371
norm_d16_19,0.0063807888383825015
theta_13_14_15,0.00637675782474681
norm_d7_12,0.006352100281939646
y4_scale,0.0062280990250278626
theta_1_2_3,0.006196946054979999
norm_d2_20,0.006186922528163491
norm_d4_11,0.006178203546162593
y11_scale,0.006034277195097852
norm_d9_11,0.006026059389564342
norm_d14_19,0.006012418456589796
norm_d8_17,0.005973181403418112
norm_d12_20,0.005937837091221318
norm_d12_17,0.005898445806412401
norm_d7_20,0.005876427407737261
theta_17_18_19,0.00583309201645544
y3_scale,0.0058190084807501295
y2_scale,0.005776927917003278
norm_d1_8,0.005693962233638082
norm_d8_9,0.005688119619345908
norm_d4_17,0.005683164295642021
norm_d11_17,0.005670947112130204
norm_d11_15,0.005662199910626387
x6_scale,0.005604690135063412
norm_d12_13,0.005466785078918835
x11_scale,0.005400106449462286
norm_d0_4,0.005396091098739436
norm_d3_15,0.0053122772479960376
norm_d4_18,0.0053081492972722995
norm_d2_16,0.005293257478042656
norm_d11_13,0.005252395104455404
norm_d5_7,0.005227359058902373
x17_scale,0.005224681236345969
norm_d7_13,0.005222669328436617
y20_scale,0.0051888901041255075
norm_d5_8,0.005148228976878915
norm_d8_13,0.005136096865706286
norm_d0_20,0.005098131020470314
norm_d11_16,0.00501870044769229
norm_d1_12,0.005010683925100539
x12_scale,0.004953150096683522
norm_d3_16,0.0049464116080848025
norm_d11_20,0.00490213736659606
y6_scale,0.004869351900851308
norm_d9_12,0.0048687154356520075
norm_d8_20,0.004857955383593584
norm_d17_20,0.004767394912784743
norm_d1_20,0.004749559743192356
norm_d0_7,0.004721557760291588
norm_d4_7,0.004683310875357778
norm_d6_11,0.004554776120019211
norm_d12_19,0.004525914742604455
norm_d10_19,0.004515327746612559
y15_scale,0.004484007052972982
norm_d10_13,0.00442696266288192
norm_d7_16,0.004416923835108254
x10_scale,0.004333265124957011
norm_d3_12,0.00430755584372044
x13_scale,0.004264092989293663
y19_scale,0.004259661335752149
norm_d17_19,0.004232501774351106
norm_d6_8,0.0042309636297164594
norm_d13_20,0.0041686678450606526
y9_scale,0.004149185532015434
norm_d10_20,0.00414423068524304
norm_d6_18,0.004094326674149857
norm_d6_12,0.004087740854507205
norm_d7_18,0.0040607288811792645
x19_scale,0.004040098977139146
norm_d13_15,0.004002421849065243
x5_scale,0.003957668973128845
y8_scale,0.0038942574086131753
x0_scale,0.003874406827809131
theta_5_6_7,0.003851672337343126
norm_d7_9,0.0038358032431645727
norm_d5_20,0.00382733768736169
norm_d5_11,0.003809212167371411
norm_d4_9,0.0037912395612095806
norm_d2_8,0.0037299180495530574
norm_d3_9,0.0037240456310569654
norm_d14_20,0.0036541354226997643
y7_scale,0.0036289757627595174
y14_scale,0.0036010841902781245
norm_d15_19,0.003592037658747781
x16_scale,0.003560792089028652
norm_d1_11,0.0035364828430860984
norm_d0_11,0.003501427983246845
norm_d9_10,0.0034871808863046194
norm_d5_12,0.0034414557802726286
norm_d4_14,0.0033873443705794586
norm_d5_19,0.0033064893837439317
norm_d8_16,0.0032918115895613303
norm_d0_15,0.003278190776730531
norm_d3_19,0.0032114378895555544
norm_d0_6,0.00320744631589626
norm_d6_19,0.0032069808198613658
norm_d15_17,0.003204332475922344
norm_d1_6,0.0031819260549758198
norm_d3_18,0.003134713086130678
norm_d5_6,0.003127081184769737
norm_d9_20,0.003109831773577537
norm_d1_7,0.003098128943322588
norm_d2_11,0.003082144580093542
x15_scale,0.0030480709051192182
norm_d7_19,0.003010288552367275
norm_d8_15,0.002938447410680332
x1_scale,0.0028936293854254385
x9_scale,0.0028287975238656935
norm_d3_11,0.0028012029152630295
norm_d3_17,0.002799140985694813
norm_d1_19,0.0027866240682515287
x18_scale,0.0027865831372345202
norm_d6_15,0.0027777716918549545
norm_d1_15,0.0027546273322633335
norm_d11_19,0.0027294276013309286
norm_d6_9,0.002710873253602783
norm_d3_13,0.002708295828790291
norm_d10_15,0.002625000604690867
norm_d2_14,0.0026234099313148457
norm_d7_8,0.0026086380706263814
norm_d5_16,0.0025832319371060734
x3_scale,0.002572511038262526
norm_d10_11,0.002569056051734147
norm_d9_15,0.0025645315394527885
norm_d3_7,0.0025628167632048633
x14_scale,0.0025555271209455215
norm_d2_7,0.002552514986714744
norm_d12_18,0.002528379048444897
norm_d16_17,0.0025225069896732425
y1_scale,0.002507523327101584
norm_d10_18,0.002450390043169427
norm_d13_14,0.0024332303578693815
norm_d1_4,0.0024319520851760943
norm_d13_17,0.002424907076734673
norm_d6_7,0.0024159492730637454
norm_d2_18,0.0024044296068394602
norm_d13_19,0.0023934898681956264
x2_scale,0.002387936079316126
norm_d10_14,0.0023344555178648973
norm_d1_10,0.002321718571396
norm_d8_18,0.00231352764016107
norm_d3_20,0.002283011428520575
norm_d2_5,0.002260590323340682
norm_d0_19,0.002259571248461989
norm_d7_15,0.002258001581249138
norm_d14_15,0.0022510532820726316
norm_d2_15,0.002195815266468861
norm_d9_17,0.0021943475696105984
norm_d3_8,0.0021941766836330555
norm_d14_17,0.0021857719470801344
norm_d8_10,0.0021745425981891096
norm_d9_16,0.0021739719902262346
norm_d9_14,0.002164371093788266
norm_d3_14,0.0021579358074965234
norm_d11_18,0.0021511482053011995
norm_d6_14,0.0021328460000630102
norm_d0_14,0.002121581774236064
norm_d16_18,0.002118190572602329
norm_d9_19,0.002078581221989461
norm_d17_18,0.0020690503514981954
norm_d6_13,0.0020223477686226368
norm_d1_13,0.0020037433969493186
norm_d6_17,0.0019995949676039127
norm_d1_14,0.0019848717382248988
norm_d0_18,0.0019781133447371434
norm_d0_5,0.0019742438875018043
norm_d8_19,0.001957708108989827
norm_d13_18,0.001950297138631563
y10_scale,0.0019165843245996191
norm_d10_17,0.0019135103717935248
norm_d6_20,0.0018936942640785004
norm_d5_18,0.0018733850777839741
norm_d5_14,0.0018595834422381924
norm_d5_17,0.0018409792867726173
theta_2_3_4,0.0018299089082664203
norm_d14_16,0.001809347477584792
norm_d0_17,0.0017753338753763064
theta_0_9_10,0.0017464385831005903
y0_scale,0.0017426897819589706
norm_d5_13,0.0016478004058069575
norm_d7_17,0.0016456069964316277
norm_d2_13,0.0016435547424289096
norm_d5_15,0.001635581764122479
norm_d4_5,0.001630200254377584
norm_d9_18,0.0016209174547053653
norm_d15_18,0.0016119609668955592
norm_d1_17,0.0016064026372946986
norm_d1_9,0.0015974810664178272
norm_d2_10,0.001591386184043915
theta_0_5_6,0.0015864689300149784
norm_d7_14,0.0015713499388171877
theta_10_11_12,0.0015192524206053477
norm_d18_19,0.0014736511916597383
norm_d0_9,0.0014451204985577537
norm_d9_13,0.0014171795554921399
norm_d2_3,0.0013924193078274725
norm_d3_10,0.001391220693417124
norm_d18_20,0.0013904863861775518
norm_d2_19,0.0013600850254031735
norm_d2_4,0.0013472701158701653
norm_d3_5,0.001323128863018746
norm_d2_9,0.00131667657237689
norm_d0_1,0.0013104657998397793
norm_d0_13,0.001269820283487983
norm_d2_6,0.0012595059091470061
norm_d1_18,0.0012495747790239227
norm_d14_18,0.001244422386499371
norm_d6_16,0.0012393738700264612
norm_d15_16,0.001225692193215313
norm_d5_9,0.0011737890689943354
norm_d0_10,0.0011577485960443906
theta_0_17_18,0.0010912403236686449
theta_0_1_2,0.0010822201967582293
theta_0_13_14,0.0010820698312859155
norm_d3_6,0.0010520653800768264
norm_d0_2,0.0009537802379602006
norm_d0_3,0.0009377527368399801
norm_d1_2,0.0008396410180186212
norm_d5_10,0.0008343698716626181
norm_d12_14,0.0007787296150356075
norm_d1_5,0.0007682309017159457
norm_d2_17,0.0007537239420364224
norm_d11_14,0.0007312120695280869
norm_d10_12,0.0007298173142482481
norm_d8_14,0.0006985636354930517
norm_d1_3,0.0006864335012263653
norm_d10_16,0.000636971682611613
theta_18_19_20,0.0005896595386559474
theta_6_7_8,0.0005754601271513662
theta_14_15_16,0.0005530964842382972
norm_d19_20,0.0004910489539306462
norm_d3_4,0.0004678110142917557
norm_d11_12,0.0003562053866022703
