representation,n_observations,n_predictors,n_classes,train_accuracy,test_accuracy,train_error,test_error,cv_best_accuracy,best_C
raw_xy,3219,42,34,0.7922330097087379,0.7391304347826086,0.2077669902912621,0.26086956521739135,0.7188349514563107,100.0
raw_xyz,3219,63,34,0.8803883495145631,0.8059006211180124,0.11961165048543687,0.19409937888198758,0.7895145631067961,100.0
translated_xy,3219,42,34,0.8516504854368933,0.782608695652174,0.14834951456310674,0.21739130434782605,0.7681553398058252,100.0
scaled_xy,3219,42,34,0.8462135922330097,0.7608695652173914,0.15378640776699026,0.23913043478260865,0.7483495145631067,100.0
distances_xy,3219,210,34,0.8920388349514563,0.8633540372670807,0.1079611650485437,0.1366459627329193,0.8633009708737864,0.1
normalized_distances_xy,3219,210,34,0.9029126213592233,0.8695652173913043,0.09708737864077666,0.13043478260869568,0.8644660194174758,0.1
angles_xy,3219,15,34,0.7576699029126214,0.734472049689441,0.24233009708737863,0.265527950310559,0.7308737864077669,1.0
hybrid,3219,267,34,0.9293203883495146,0.8913043478260869,0.07067961165048542,0.10869565217391308,0.8796116504854368,0.1
