Metric,Value
Representation,angles_xy
Training accuracy,1.0
Training error,0.0
Test accuracy,0.7593167701863354
Test error,0.24068322981366463
Cross-validation best accuracy,0.770873786407767
Number of training observations,2575
Number of test observations,644
Number of predictors,15
Number of classes,34
Number of trees,500
Maximum tree depth,
Maximum features per split,sqrt
Minimum samples per leaf,1
