mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_max_features,param_min_samples_leaf,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.6491762638092041,0.022790646641619488,0.5793214321136475,0.6902253001651274,,sqrt,1,100,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 100}",0.7825242718446602,0.7514563106796116,0.7553398058252427,0.8135922330097087,0.7339805825242719,0.7673786407766989,0.027853081284724045,11
2.5311327934265138,0.3474500401760336,2.528575372695923,0.4034488817447477,,sqrt,1,300,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 300}",0.7844660194174757,0.7533980582524272,0.7533980582524272,0.8135922330097087,0.7417475728155339,0.7693203883495146,0.026293298454074958,7
5.623437309265137,0.20804888250467796,0.8071841716766357,0.1165540781678948,,sqrt,1,500,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 500}",0.7844660194174757,0.7592233009708738,0.7533980582524272,0.8097087378640777,0.7475728155339806,0.770873786407767,0.02313859279186988,1
1.8994735717773437,0.4403025654316083,2.0831445693969726,0.31224784174447,,sqrt,2,100,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'n_estimators': 100}",0.7825242718446602,0.7495145631067961,0.7339805825242719,0.7922330097087379,0.7300970873786408,0.7576699029126214,0.025299413553246348,31
3.140503978729248,0.5528119691029527,1.3983452796936036,0.6670951797089874,,sqrt,2,300,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'n_estimators': 300}",0.7844660194174757,0.7553398058252427,0.7456310679611651,0.7980582524271844,0.7359223300970874,0.7638834951456311,0.02357764541617169,13
4.888192844390869,0.4586929980893258,1.0488213062286378,0.4552688950816311,,sqrt,2,500,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'n_estimators': 500}",0.7864077669902912,0.7495145631067961,0.7475728155339806,0.8,0.7359223300970874,0.7638834951456311,0.02476318223989105,13
1.4983895778656007,0.356426699992022,1.118885087966919,0.385374943636452,,sqrt,4,100,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'n_estimators': 100}",0.7747572815533981,0.7417475728155339,0.7417475728155339,0.7747572815533981,0.7281553398058253,0.7522330097087379,0.01904892965969822,51
3.9950108528137207,0.542786102628283,1.3983927249908448,0.45000277445522885,,sqrt,4,300,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'n_estimators': 300}",0.7864077669902912,0.7417475728155339,0.7339805825242719,0.7902912621359224,0.7339805825242719,0.7572815533980581,0.025554460390465394,39
5.405759525299072,0.5275647822484557,1.1869914531707764,0.32770674303899716,,sqrt,4,500,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'n_estimators': 500}",0.7902912621359224,0.7417475728155339,0.7378640776699029,0.7902912621359224,0.7281553398058253,0.7576699029126214,0.02700076628468926,31
2.071839427947998,0.22511316948508903,0.5916566848754883,0.042741461134209395,,log2,1,100,"{'max_depth': None, 'max_features': 'log2', 'min_samples_leaf': 1, 'n_estimators': 100}",0.7825242718446602,0.7514563106796116,0.7553398058252427,0.8135922330097087,0.7339805825242719,0.7673786407766989,0.027853081284724045,11
3.362916851043701,0.6425403679737929,1.8809802532196045,0.6092072024552894,,log2,1,300,"{'max_depth': None, 'max_features': 'log2', 'min_samples_leaf': 1, 'n_estimators': 300}",0.7844660194174757,0.7533980582524272,0.7533980582524272,0.8135922330097087,0.7417475728155339,0.7693203883495146,0.026293298454074958,7
