,x0,y0,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,x15,y15,x16,y16,x17,y17,x18,y18,x19,y19,x20,y20
Class 0,0.308400455395333,0.4672329645849023,0.2636247917986105,0.41176443835633875,0.19773521959609147,-0.13985804102630556,1.3284941852448335,-1.0830596747300605,2.953006636414417,-2.06254237731898,0.5218082821126165,-1.0395050295790342,-0.6739713180276082,-1.2555973571855723,-0.7092037904230799,0.9345937074561909,-0.5059431199288958,-0.2609232951760098,0.7937438280549352,-1.1072466562359515,0.13094430252527015,-0.3240320695073239,-0.19060014031074535,1.772953919606086,-0.629286339839752,-0.1818211721884706,0.8096435278891474,-1.1087866026931408,0.19153170524009133,-1.0094406332314472,-0.15929897128395828,0.23446745015880732,-0.9016133465304381,-0.9547064361313572,0.41404329343166646,-1.2039890170219074,0.1695300912560187,-1.036302400114555,0.02830582303365652,0.47359589335438046,-0.7228489449143847,0.553424094926424
Class 1,-0.996376004222353,0.6564043931835556,-0.13181688162758276,0.7877791925067557,0.02962451799365418,0.8051139917307596,0.4248963106410653,0.5600107212562504,1.3320272186221978,0.399762613593966,0.26619861463916156,0.8683181679826492,-0.1476718395630479,0.5531407706099168,-0.5483837921300473,-0.448591443811424,-0.7612639817143898,-1.485268500116773,0.14785074824972147,0.8407402020993908,-0.004887785692562621,0.6734871773179918,-0.34343133141203785,-0.18503100675081452,-0.5293751827272353,-0.8810197786024023,-0.04694493345403188,0.6825055567052415,0.10566708412268543,0.30377163727677386,-0.05400451374465885,-0.706858633494517,-0.10930711428430434,-1.4939704619681358,-0.35940769790717353,0.4795457947038078,-0.14669659116219794,0.15232961116731372,-0.2102632565386418,-0.5821710822749679,-0.0952144819721419,-1.206303840919789
Class 10,0.07083929252438605,0.38856934090961137,0.3142039861155091,-0.12726417657599223,-0.5063636913577619,-0.5141813588375634,-0.01859179043212094,-1.0336544962672083,1.0878952374749433,-1.6938898465288055,-0.2095947347217368,0.815166651218387,0.5599896220547071,1.0659148128745453,1.048420388962143,0.8332332363011252,1.5221941489330222,0.3889802772237282,-0.12699413348152871,0.6695470657052007,-0.8378089531791627,0.3470554786748979,-1.2815177545050294,-0.6643913548901124,-1.356026263115117,-1.2948201335743854,-0.0970966575896751,0.46555781036205196,-0.13717859863628112,0.3948134695800319,-0.22947000711402926,0.9326362646551194,-0.21818446486177845,1.3261470260260662,-0.12202853578336166,0.3081162196527613,-0.20312334609776808,0.21211497664450163,-0.27933501028458274,0.4581387898784156,-0.25456017124123237,0.6541829992443915
Class 11,0.33550869040354453,-0.29228707318499597,-0.24906222216831803,-0.17758694842506173,-0.08100430754058724,-0.12846524389529587,1.2838424141061058,0.23418201639938982,2.403737889148358,0.4601230065088243,-0.39980651300033737,0.05087965596165088,-0.09070589601457535,-0.15854243928660672,0.1313474927305682,-0.8046779588358131,0.31048529022727667,-1.0889509127428216,-0.31997807565747155,0.027701965889257524,-0.03821828072220007,0.30942865048171087,-0.24651735036182212,0.7225432754508071,-0.312794344603101,1.0060931593231492,-0.2543561433739056,-0.031498248171510326,0.026965763484803174,0.331017026316644,-0.19177568773050824,0.45574314457488074,-0.23790815758447556,0.5744689578024781,-0.14922028726041908,-0.11221707207043555,-0.03424932736081436,0.1141456801536152,-0.06896524410419033,0.36947614048480676,-0.0351886364306093,0.533649656622824
Class 12,0.8199359195908958,-0.0063960628369008005,0.9177634192579475,-0.1818264235490777,-0.2190852442099276,-0.5228189923646499,-1.7152930119745324,0.04170520222437917,-1.7315712096237124,0.18254234974743747,0.25556491400485076,-0.7909227064742925,0.3679123892486145,-0.3312357800023041,0.42821976888642393,0.22182408755596175,0.32393667168989193,1.877496956448586,0.08747251933626156,-0.831132507255498,1.1754495879191325,-0.37286155651463543,0.9766779358571039,0.13361651028529334,0.5735359498161242,1.85985725933209,-0.2447327091958867,-0.6425207793066833,-0.2661468367852638,-2.9777727388656947,-0.056759254685985396,-3.130943195329975,-0.05756435978956944,-1.6935214622823336,-0.39837499731716147,-0.018533478310222454,0.21198636745355984,-0.1363757052760166,0.7222510577988561,0.09164828853787016,0.9020694039630471,0.926389124555012
Class 13,1.727087486133816,-0.3954351582358659,1.398317447164006,-0.7905349540343335,0.34020804467087734,-1.0432557370202473,-1.3923183086828628,-0.7182868598085755,-2.0341364381129385,-0.2974712845052633,-0.016586715304317715,-0.4273542066663533,0.15024427245392316,-0.11803894934523657,0.14132012093796484,0.5765764732309394,-0.11228115894697836,1.5262929252749529,-0.2341310119318467,-0.350539335047033,-0.5892059209848945,-1.933409152820227,-0.20753421701654573,-2.215349386025274,-0.015157994792021536,-1.0341025521835285,-0.5713153086860324,-0.24876264563030606,0.2928827084984021,0.6212788922601996,0.9311072238598053,1.2715671600374612,1.1090225234461801,1.7227431446440786,-0.5360268840558462,-0.15926618815809512,0.3362447866202455,-0.15428490104902645,0.8084616112959863,0.0761859041542605,0.7724129193490374,0.2742735538706775
Class 14,-1.1624460792216431,1.2171236451131253,-0.06750902912852606,0.6034805251703469,0.20145057539058311,0.16030123191339188,0.5513213033714371,-0.4364497064517149,0.0782752210909474,-0.9891531949267551,-0.9223006786797665,0.21695396817562268,-0.5330421997998782,-0.2602600374331005,0.25696883169823354,0.06987658780214966,0.6356554267667203,0.6865683643611523,-1.4388414239451808,0.15478985320862598,-0.6769440510897613,-0.7861754458224428,0.07010710738324924,-0.6977882474796598,0.3103607017876419,-0.16590937780087975,-1.8261702238183763,0.05501627469576267,-0.7247313319641226,-0.6498218533613267,0.27149114169569816,-0.5799820796441106,0.9303200190255299,-0.25081098756844106,-1.6007952262795009,0.09251877994636176,-0.23734796995267327,-0.1152208957966816,0.6934140508815811,-0.24445422044391915,1.5506464892271585,-0.22189369634470435
Class 15,-0.6615061737629245,-0.5536849528431801,-0.6238300856178846,-0.4352371636360722,-0.27916300305029135,-0.3953117771183757,0.11301204656766398,-0.4774020350416712,0.3923534800031848,-0.7259617880152466,-0.15072774570698727,-0.5866479521468196,0.18678409185583392,-0.17034745593004982,0.5282156313397351,-0.1649935015838942,0.8160234896200919,-0.020313183177842965,-0.4730435346813985,-0.5560811151999662,0.5200660339874124,0.475464396572251,0.8667777768536187,0.7996167139418016,1.0786393346162628,0.9448444627387591,-0.6730969839643075,-0.3533086103071293,0.6778942184180348,0.4788075443491676,0.24126197611319342,0.21457180786358993,-0.2443102922476625,-0.05174756336864165,-0.5961564747320494,-0.0926020140578319,0.5562294013489086,0.45259824775410484,0.15018744676519846,0.26412761707326105,-0.4434067098430916,0.016385248196545153
Class 16,0.4301302692299068,-0.9158558124769534,0.19403042841846896,-0.7836307824514092,0.07608549174649763,-0.44386262964927314,0.005073327891533588,0.14881212076232653,-0.09871236888774705,0.7367994520837998,-0.26081758681111994,-0.9528971175907501,0.007232679567737598,0.048594166634495624,0.18272516600760497,0.9498877778417861,0.22127185213878514,1.512108195450516,-0.4491088468148104,-1.0524977001134994,-0.10344303481155627,0.45306668323686733,0.031879946152465456,0.9528412325796843,0.04009958711827367,1.1166659406325843,-0.3411122380474373,-0.9493527988049536,0.020354043714790927,0.3404849963354103,0.16957778742772867,0.43815702960898,0.20740639002992056,0.46977469812905487,0.009329598256315953,-0.7651361317861693,0.11858305420227726,0.006943988870621363,0.24116793290979732,-0.0013402045408033136,0.30985111211218436,-0.06580312758138503
Class 17,0.36115538926093155,0.5811480807327697,-0.40586427850974344,0.6774449184548736,-0.7260325411790304,0.5637712453694973,-0.0037029490320702914,-0.18085001365793235,0.27887843197540013,-1.6374538392381413,0.7586727518476314,0.6365842047897694,-1.0590837579228927,0.7827262756108758,-2.1611293284561186,-0.0023114816518055984,-2.7986814703506666,-0.9236118439559052,1.3611888624878132,0.4765394297037403,1.3890070796599023,0.2622639169119698,0.9600031621349163,-0.6881642251971897,0.7974461867052398,-1.3140334823510318,1.2869084903109258,0.3460706092498169,-0.35419437347837607,-0.5455424039136725,-1.0353777165043008,0.4248182839231907,-0.8247402526821477,0.9294915858537955,0.8269995352225108,0.37476181906639505,-0.3793525109791505,0.286076832613031,-0.8013452454808774,0.7875743746838159,-0.6620522310586918,0.8697790111436595
Class 18,-1.0205616824902741,0.4662292249743252,-0.07991165789385264,0.10337851530203207,0.5632495701388768,-0.17497261950582066,-0.4246566789092294,-1.1906314191686838,-2.5869141775971864,-1.0250421297424699,1.6132919515319863,0.09507438200205151,1.8021760256633916,-1.841495109571597,1.2009039008328046,-0.39313038303433717,0.8454141333595547,-1.330854131790739,1.1039755888771414,-0.18617730418416573,0.8703062112952225,-0.3506568747009122,0.21557883298408778,0.8738975736286816,-0.4362848414547485,-1.3906959575860949,0.21129411719938315,-0.18868030356268092,0.10324013949940332,0.3483027761879222,-0.03929880969123452,0.8758636957951865,-0.9645097103646477,-1.0887512997229387,-1.0366401851932223,-0.36569211030117976,-0.6952313383207963,-0.004543799409185287,-1.0772400185894218,0.18608511469961994,-2.2358252287615468,-1.073136862784741
Class 19,-1.0493983447879107,-0.40069521592089896,-0.23284953079583934,0.025796253557557956,0.4843182297879045,-0.2887872543250089,0.7496204655206145,-1.5006437905929604,0.7493592334968731,-2.9908157819502525,0.348052407131399,-0.41500584363887855,0.212351207508494,-0.9175480202876239,-0.2708720188387051,-1.4985954788432756,-0.5443111982930288,0.9026161554809518,0.14851065281166445,-0.30002920597838495,-0.7861352994942445,-0.8420128033469517,-0.5806639902639761,-0.36243246945860386,0.2612277631873562,1.8648769670698764,-0.11513342457431971,-0.24729367799587507,-0.3634806052239822,0.22661769151624944,-0.3614541869352514,0.9590960381843684,0.8084813103634589,2.334102235398043,-0.39535085565182926,-0.09259184997137032,-0.536075025568643,0.073632143780001,-0.41165113503366213,0.7560148292930711,0.7435894097978474,1.579296865435027
