Metric,Value
Representation,raw_xyz
Training accuracy,1.0
Training error,0.0
Test accuracy,1.0
Test error,0.0
Cross-validation best accuracy,0.9986730552975114
Number of training observations,4522
Number of test observations,1131
Number of predictors,63
Number of classes,29
Selected C,100
Solver,lbfgs
Maximum iterations,10000
